Job Title,Skill,Collapsed Skill
"Jr. Software Development Engineer:Amazon:Seattle, WA", Programming, Programming
"Jr. Software Development Engineer:Amazon:Seattle, WA", Problem-solving, Problem-solving
"Jr. Software Development Engineer:Amazon:Portland, OR", Programming, Programming
"Jr. Software Development Engineer:Amazon:Portland, OR", Problem-solving, Problem-solving
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Object-oriented design, Object-oriented software development
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Programming languages, Programming
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Problem-solving, Problem-solving
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Communication,C programming
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Time management, Time management
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Programming, Programming
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Database Design, Database management
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Problem-solving, Problem-solving
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Communication,C programming
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Leadership, Programming
"Front-End Engineer:Amazon:Bellevue, WA", Software development, Software Development
"Front-End Engineer:Amazon:Bellevue, WA", Computer science fundamentals, CS fundamentals
"Front-End Engineer:Amazon:Bellevue, WA", Agile software development methodology, Agile development
"Front-End Engineer:Amazon:Bellevue, WA", JavaScript frameworks, JavaScript frameworks
"Front-End Engineer:Amazon:Bellevue, WA", Front-end technologies, Front-end Build Tools
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Cloud Technologies, Cloud Computing
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Machine Learning, Artificial Intelligence/Machine Learning
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Distributed Systems,Data structures
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Software Development Life Cycle, Software Development Methodologies
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Programming Languages, Programming
