Job Title,Skill,Collapsed Skill
"Jr. Software Development Engineer:Amazon:Seattle, WA", Computer Science, Computer Science/Math/Engineering/Science
"Jr. Software Development Engineer:Amazon:Seattle, WA", Object-oriented design, Object-oriented software development
"Jr. Software Development Engineer:Amazon:Portland, OR", Computer Science, Computer Science/Math/Engineering/Science
"Jr. Software Development Engineer:Amazon:Portland, OR", Object-oriented design, Object-oriented software development
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Computer Science fundamentals, CS fundamentals
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Software engineering practices, Software Engineering
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Object-oriented programming, Object-oriented software development
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Agile development methodologies, Agile development
"Jr. Software Development Engineer:Amazon:San Luis Obispo, CA", Data structures and algorithms, Data structures and algorithms
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Distributed Systems,Data structures
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Algorithms, Automation
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Relational Databases,Shell scripting
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Optimization Mathematics, Programming
"Software Development Engineer Internship - 2024 (US):Amazon:Seattle, WA", Software Development Lifecycle, Software Development Methodologies
"Front-End Engineer:Amazon:Bellevue, WA", AWS, ASP
"Front-End Engineer:Amazon:Bellevue, WA", Software design, Software Engineering
"Front-End Engineer:Amazon:Bellevue, WA", Front-end technologies, Front-end Build Tools
"Front-End Engineer:Amazon:Bellevue, WA", Agile software development methodology, Agile development
"Front-End Engineer:Amazon:Bellevue, WA", Market location, Market location
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Live Event Streaming, Live Event Streaming
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", AWS Technologies, AWS cloud
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Design Patterns, Design patterns
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Reliability and Scaling,Scalability
"Software Development Engineer:Prime Video & Amazon Studios:Seattle, WA", Coding Standards, Standards Compliance
"Front End Engineer:Amazon:Arlington, VA", Computer science fundamentals, CS fundamentals
"Front End Engineer:Amazon:Arlington, VA", JavaScript frameworks, JavaScript frameworks
