Skill,Explanation,Related Course,Credits
Problem-solving,"Through programming projects, students will develop the ability to solve problems related to database design and application development. This ability is essential for identifying and resolving issues that may arise in real-world database scenarios.",INTRODUCTION TO DATABASES,3
Communication,Students will enhance their communication skills through the presentation and documentation of their programming projects. Effective communication is vital in conveying ideas and collaborating with others in the field of database development.,INTRODUCTION TO DATABASES,3
Analytical thinking,Students will develop the ability to analyze complex problems and find solutions.,ARTIFICIAL INTELLIGENCE,3
Critical thinking,Students will enhance their critical thinking skills as they evaluate different AI techniques and approaches.,ARTIFICIAL INTELLIGENCE,3
Communication,Students will improve their ability to communicate complex ideas and concepts related to artificial intelligence.,ARTIFICIAL INTELLIGENCE,3
Collaboration,"Students will have the opportunity to collaborate with peers on AI projects, enhancing their teamwork skills.",ARTIFICIAL INTELLIGENCE,3
Research skills,Students will develop research skills as they explore and study various topics in artificial intelligence.,ARTIFICIAL INTELLIGENCE,3
Problem-solving,Students will develop problem-solving abilities as they work on programming exercises and projects in NLP.,NATURAL LANGUAGE PROCESSING,3
Analytical Thinking,Students will enhance their ability to analyze and understand complex linguistic data and apply NLP techniques to solve problems.,NATURAL LANGUAGE PROCESSING,3
Communication,"Students will improve their ability to communicate their ideas and findings related to NLP effectively, both verbally and in writing.",NATURAL LANGUAGE PROCESSING,3
Programming,Students will develop programming skills in implementing NLP algorithms and working with NLP libraries and tools.,NATURAL LANGUAGE PROCESSING,3
Research Skills,"Students will gain the ability to conduct research in the field of NLP, including literature review, experimental design, and evaluation of NLP systems.",NATURAL LANGUAGE PROCESSING,3
Problem-Solving,Students will develop the ability to analyze and solve complex problems related to the design and implementation of large-scale distributed systems.,FUND-LARGE-SCALE DIST SYS,3
Communication,"Students will enhance their ability to effectively communicate complex technical concepts, both verbally and in writing, to collaborate with team members and present their work.",FUND-LARGE-SCALE DIST SYS,3
System Analysis,"Students will develop the ability to analyze and evaluate the performance, scalability, and fault tolerance of distributed systems, identifying areas for improvement and optimization.",FUND-LARGE-SCALE DIST SYS,3
Collaboration,"Students will learn to work effectively in teams, collaborating with others to design and implement large-scale distributed systems.",FUND-LARGE-SCALE DIST SYS,3
Adaptability,"Students will develop the ability to adapt to rapidly evolving technologies and industry trends in the field of large-scale distributed systems, enabling them to stay current and continue learning throughout their careers.",FUND-LARGE-SCALE DIST SYS,3
Analytical thinking,Students will develop the ability to analyze economic problems and apply computational methods to derive insights and solutions.,COMPUTING IN ECONOMICS,3
Collaboration,"Through group projects and discussions, students will enhance their ability to collaborate effectively with peers, an essential skill in the field of economics.",COMPUTING IN ECONOMICS,3
Critical thinking,"Students will cultivate critical thinking skills, enabling them to evaluate economic models, theories, and empirical evidence using computational tools.",COMPUTING IN ECONOMICS,3
Written communication,Students will improve their ability to communicate economic concepts and findings through written reports and documentation.,COMPUTING IN ECONOMICS,3
Research skills,"Students will develop research skills, including the ability to gather, evaluate, and synthesize economic data from various sources, supporting their analysis and decision-making processes.",COMPUTING IN ECONOMICS,3
Problem-solving,Students will develop the ability to analyze and solve complex problems related to data structures and algorithms.,DATA STRUCTURES IN JAVA,3
Programming,Students will enhance their programming abilities by implementing and manipulating various data structures in Java.,DATA STRUCTURES IN JAVA,3
Analytical thinking,Students will develop the ability to analyze and evaluate the efficiency and performance of different data structure operations.,DATA STRUCTURES IN JAVA,3
Communication,"Students will enhance their ability to communicate their ideas, algorithms, and solutions effectively, both verbally and in writing.",DATA STRUCTURES IN JAVA,3
Collaboration,Students will develop the ability to work collaboratively in teams to design and implement data structures and algorithms.,DATA STRUCTURES IN JAVA,3
Problem-solving,"Students will develop the ability to analyze and solve complex problems in the field of computer science theory, applying the concepts and techniques learned in the course.",COMPUTER SCIENCE THEORY,3
Logical reasoning,"Students will enhance their ability to think logically and critically, as computer science theory involves rigorous reasoning and proof techniques.",COMPUTER SCIENCE THEORY,3
Abstract thinking,"Students will develop the ability to think abstractly, as many concepts in computer science theory deal with abstract models of computation and formal languages.",COMPUTER SCIENCE THEORY,3
Algorithmic thinking,"Students will acquire the ability to design and analyze algorithms, as algorithmic concepts are fundamental in computer science theory.",COMPUTER SCIENCE THEORY,3
Written communication,"Students will enhance their ability to communicate complex ideas and concepts effectively through written reports and assignments, as computer science theory often requires precise and clear explanations.",COMPUTER SCIENCE THEORY,3
