Skill,Explanation,Related Course,Credits,Semester
Problem-solving,Students will develop the ability to analyze and solve complex problems related to operating systems.,"OPERATING SYSTEMS, II",3,
Communication,Students will enhance their ability to effectively communicate their ideas and findings related to operating systems.,"OPERATING SYSTEMS, II",3,
Project management,"Students will develop the ability to plan, organize, and execute a substantial project in the field of operating systems.","OPERATING SYSTEMS, II",3,
Critical thinking,Students will enhance their ability to critically analyze and evaluate research papers and developments in operating system research.,"OPERATING SYSTEMS, II",3,
Research skills,"Students will develop the ability to conduct research, gather relevant information, and apply it to operating system design and development.","OPERATING SYSTEMS, II",3,
Applying conceptual knowledge to practical use,The desired outcome of the course is for students to be able to apply their conceptual knowledge to real-world scenarios.,CLOUD COMPUTING,3,
Design and implementation,The emphasis of the course is on practical design and implementation of large-scale systems.,CLOUD COMPUTING,3,
Running experiments,Students will develop the ability to run experiments using standard DL frameworks and open-source DL technologies.,CLOUD COMPUTING,3,
Analyzing system performance issues,Students will gain the ability to analyze and address system performance issues in the context of cloud computing.,CLOUD COMPUTING,3,
Organizing and presenting information,Students will enhance their ability to organize and present information through project presentations and assignments.,CLOUD COMPUTING,3,
Problem-solving,Students will develop the ability to apply their knowledge and skills to solve problems related to online privacy and anonymity.,ANONYMITY & PRIVACY,3,
Critical analysis,Students will enhance their ability to critically analyze and evaluate the implications and consequences of different approaches to anonymity and privacy.,ANONYMITY & PRIVACY,3,
Verbal communication,Students will improve their ability to communicate effectively and articulate their thoughts and ideas in class discussions and presentations.,ANONYMITY & PRIVACY,3,
Written communication,Students will develop the ability to communicate their research findings and analysis through well-written reports and papers.,ANONYMITY & PRIVACY,3,
Collaboration,"Students will enhance their ability to work collaboratively with peers on projects and discussions, fostering teamwork and cooperation.",ANONYMITY & PRIVACY,3,
Problem-solving,"Students will develop the ability to analyze and solve problems related to intrusion detection systems, such as identifying vulnerabilities and detecting potential threats.",INTRUSION DETECTION SYSTE,3,
Communication,Students will enhance their ability to effectively communicate their findings and ideas related to intrusion detection systems.,INTRUSION DETECTION SYSTE,3,
Network analysis,Students will develop the ability to analyze network traffic and behavior patterns to identify potential intrusions.,INTRUSION DETECTION SYSTE,3,
System behavior analysis,Students will acquire the ability to analyze system behavior and identify abnormal patterns that may indicate intrusions.,INTRUSION DETECTION SYSTE,3,
Evaluation of intrusion detection systems,Students will develop the ability to evaluate the effectiveness and efficiency of different intrusion detection systems and techniques.,INTRUSION DETECTION SYSTE,3,
Problem-solving,Students will develop the ability to analyze and solve complex problems related to intrusion detection and prevention.,INTRUSION DETECTION SYSTEMS,3,
Communication,"Students will enhance their ability to effectively communicate their findings, ideas, and recommendations related to intrusion detection systems.",INTRUSION DETECTION SYSTEMS,3,
Organization,Students will develop the ability to organize and manage projects related to designing and implementing intrusion detection systems.,INTRUSION DETECTION SYSTEMS,3,
Analytical thinking,Students will enhance their ability to analyze and evaluate data and information to make informed decisions in the field of intrusion detection.,INTRUSION DETECTION SYSTEMS,3,
Collaboration,Students will develop the ability to work collaboratively in teams to design and implement intrusion detection systems and share information for improved accuracy.,INTRUSION DETECTION SYSTEMS,3,
Problem-solving,"Students will develop the ability to analyze complex problems, identify potential solutions, and implement effective strategies to solve them.",ANALYSIS OF ALGORITHMS II,3,
Communication,"Students will enhance their ability to effectively communicate their ideas, findings, and solutions both verbally and in writing.",ANALYSIS OF ALGORITHMS II,3,
Analytical Thinking,"Students will develop the ability to analyze and evaluate algorithms, data structures, and computational problems critically.",ANALYSIS OF ALGORITHMS II,3,
Organization,"Students will acquire the ability to organize and manage their work effectively, including managing project timelines, resources, and priorities.",ANALYSIS OF ALGORITHMS II,3,
Collaboration,"Students will develop the ability to work effectively in teams, collaborate with others, and contribute to group projects and assignments.",ANALYSIS OF ALGORITHMS II,3,
Problem-solving,Students will develop the ability to solve complex problems related to 3D user interfaces and augmented reality systems.,VIRTUAL AND AUGMENTED REALITY,3,
Communication,Students will enhance their ability to effectively communicate their ideas and designs in the context of 3D user interfaces and augmented reality.,VIRTUAL AND AUGMENTED REALITY,3,
