Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
"OPERATING SYSTEMS, II",3,Jason Nieh,,"Operating Systems II is a course offered by the Department of Computer Science at Columbia University. The course is designed to provide students with an in-depth understanding of advanced operating system topics, including distributed operating systems, file system design, virtual memory management, real-time systems, proportional share resource management, operating system structure and extension techniques, and protection and security
1
. The course is taught by Professor Jason Nieh, and it is a continuation of Operating Systems I, which is a prerequisite for the course
1
.
The course involves readings and discussions of classic and new papers on recent developments in operating system research
1
. Students are required to complete a substantial project, which is a significant part of the course
1
. The course is based on a collection of journal and conference papers that describe the history and state of the art in operating systems
2
. The course is not offered during the 2023-2024 academic year
3
.
The course is designed to help students develop skills, knowledge, and abilities in the following areas:
Advanced operating system topics, including distributed operating systems, file system design, virtual memory management, real-time systems, proportional share resource management, operating system structure and extension techniques, and protection and security
1
.
Reading and discussing classic and new papers on recent developments in operating system research
1
.
Completing a substantial project
1
.
The course website provides general information, including meeting times and location, instructional staff, course materials, and course grade
1
. The website also includes information on the final project, presentations/reviews, grades, discussion, and OS resources
5
.",,
CLOUD COMPUTING,3,Donald F Ferguson,"Topics in Software engineering arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes, it may be repeated for credit with advisor approval. Consult the department for section assignment.","The Cloud Computing and Big Data Systems course is a graduate-level course offered by the Department of Computer Science at Columbia University
2
. The course is designed to provide students with hands-on experience in designing and building extremely large-scale systems using real cloud platforms and services
2
. The course is taught by Sambit Sahu, and the emphasis is on practical design and implementation
2
.
The course is divided into two parts. The first part covers basic building blocks such as essential cloud services for web applications, cloud programming, virtualization, containers, Kubernetes, and micro-services
2
. These concepts are taught using and extending capabilities available in real clouds such as Amazon AWS, Google Cloud, etc.
2
. The second part of the course focuses on the various stacks used in building an extremely large-scale system such as Kafka for event logging and handling, Spark and Spark streaming for large-scale compute, Elastic Search for search and analytics, and Kubernetes for container orchestration
2
.
The course is primarily focused on the development of practical skills in utilizing cloud services to build distributed and scalable analytics applications
4
. Students will have hands-on exposure to VMs (Virtual Machines), databases, storage, microservices, and AI/ML (Artificial Intelligence and Machine Learning) services through Google Cloud Platform, among others
4
. The course covers topics such as overview of cloud computing, cloud systems, parallel processing in the cloud, distributed storage systems, virtualization, security in the cloud, and multicore operating systems
4
.
The assignments in the course involve running experiments using standard DL frameworks such as TensorFlow and PyTorch and working with open-source DL technologies
2
. The students will gain practical experience working on different stages of the DL life cycle (development and deployment) and understanding/addressing related system performance issues
2
.
The desired outcome of the course is the student's ability to put conceptual knowledge to practical use
4
. Students taking the course are expected to possess basic Python 3 programming skills, and while extensive programming experience is not required, the course modules provide a blend of lecture and reading materials along with class exercises and programming assignments
4
.
In summary, the Cloud Computing and Big Data Systems course at Columbia University is a graduate-level course that provides students with hands-on experience in designing and building extremely large-scale systems using real cloud platforms and services. The course covers topics such as cloud computing, cloud systems, parallel processing in the cloud, distributed storage systems, virtualization, security in the cloud, and multicore operating systems. The assignments involve running experiments using standard DL frameworks such as TensorFlow and PyTorch and working with open-source DL technologies. The desired outcome of the course is the student's ability to put conceptual knowledge to practical use.",,
ANONYMITY & PRIVACY,3,Steven M Bellovin,,"The course ""Anonymity and Privacy"" is offered at Columbia University and is taught as a seminar class
1
6
. The course covers both the technical and legal aspects of free speech, anonymity, and privacy in today's online world
2
4
5
. Students are expected to read a wide variety of papers, including technical papers, and participate in class discussions
6
. The course covers topics such as:
Traffic analysis
Biometrics and authentication
Policy and national security
Legal aspects of free speech, anonymity, and privacy
The course is designed to provide students with a deep understanding of the issues surrounding anonymity and privacy in the digital age. Students will learn about the technical and legal aspects of these issues and will develop skills in critical thinking, analysis, and communication. The course will also provide students with the opportunity to work on projects related to anonymity and privacy, which will allow them to apply the knowledge and skills they have learned in class
1
4
5
. Overall, the course aims to equip students with the knowledge and skills they need to navigate the complex and rapidly evolving landscape of online privacy and anonymity.",,
INTRUSION DETECTION SYSTE,3,Mark Seiden,"Corequisite: COMS 4180W. The state of threats against computers, and networked systems. An overview of computer security solutions and why they fail. Provides a detailed treatment for Network and Host-based Intrusion Detection and Intrusion Prevention systems. Considerable depth is provided on anomaly detection systems to detect new attacks. Covers issues and problems in email (spam, and viruses) and insider attacks (masquerading and impersonation).","The Intrusion Detection Systems course at Columbia University is designed to provide students with an overview of the state of threats against computers and networked systems, as well as an understanding of computer security solutions and why they fail
4
. The course covers topics such as vulnerability analysis, port-scanning, and system behavior analysis
1
. The course also provides a detailed treatment for network and host-based intrusion detection and intrusion prevention systems, with considerable depth provided on anomaly detection, collaborative intrusion detection, attacker modeling, malicious code, and secure wireless networks
3
.
The course is intended for students who have a background in computer science and are interested in learning about intrusion detection systems. The course is a work in progress since adversaries are constantly inventing new attacks for us to detect
5
. The course is taught by Professor Salvatore Stolfo, who is a recognized expert in the field of intrusion detection systems
1
.
The course syllabus includes the following topics
5
:
Introduction to intrusion detection systems
Network-based intrusion detection systems
Host-based intrusion detection systems
Anomaly detection
Collaborative intrusion detection
Attacker modeling
Malicious code detection
Secure wireless networks
Evaluation of intrusion detection systems
The course also includes a final project where students will design and implement an intrusion detection system
5
. By the end of the course, students will have gained knowledge and skills in the following areas
4
:
Understanding the state of threats against computers and networked systems
Understanding computer security solutions and why they fail
Vulnerability analysis
Port-scanning
System behavior analysis
Network-based intrusion detection systems
Host-based intrusion detection systems
Anomaly detection
Collaborative intrusion detection
Attacker modeling
Malicious code detection
Secure wireless networks
Evaluation of intrusion detection systems
Design and implementation of an intrusion detection system.",,
INTRUSION DETECTION SYSTEMS,3,Mark Seiden,"Corequisite: COMS 4180W. The state of threats against computers, and networked systems. An overview of computer security solutions and why they fail. Provides a detailed treatment for Network and Host-based Intrusion Detection and Intrusion Prevention systems. Considerable depth is provided on anomaly detection systems to detect new attacks. Covers issues and problems in email (spam, and viruses) and insider attacks (masquerading and impersonation).","The Intrusion Detection Systems course at Columbia University is offered as COMS E6185 and is part of the Systems Security Center
3
. The course is designed to provide students with an overview of the state of threats against computers and networked systems, and to teach them how to detect and prevent intrusions
4
. The course is taught by Professor Salvatore Stolfo, who is a leading expert in the field of intrusion detection
5
.
The course covers a range of topics related to intrusion detection, including:
Anomaly detection: This involves identifying patterns of behavior that are abnormal or unexpected, which may indicate an intrusion
1
.
Collaborative intrusion detection: This involves using multiple sensors or systems to detect intrusions, and sharing information between them to improve accuracy
1
.
Attacker modeling: This involves creating models of attackers and their behavior, which can be used to identify and prevent future attacks
1
.
Malicious code: This involves studying the behavior of malware and other malicious code, and developing techniques to detect and prevent it
1
.
Secure wireless networks: This involves studying the security of wireless networks, and developing techniques to detect and prevent attacks on them
1
.
The course is designed to be hands-on, with a focus on practical skills and real-world applications. Students will work on projects throughout the semester, which will involve designing and implementing intrusion detection systems
4
. The course will also cover the latest research in the field, and students will be expected to read and analyze research papers
5
.
By the end of the course, students will have gained a deep understanding of intrusion detection systems, and will have developed the skills and knowledge needed to design and implement their own systems. They will also have gained experience working on real-world projects, and will be well-prepared for careers in the field of cybersecurity
4
.",,
ANALYSIS OF ALGORITHMS II,3,Mihalis Yannakakis,Continuation of CSOR W4231.,"The course ""Analysis of Algorithms II"" is not listed in the search results. However, there are related courses that are offered by Columbia University's Department of Computer Science and Operations Research (CSOR) that cover similar topics. Here is a summary of the courses that are related to the topic:
Analysis of Algorithms I (CSOR W 4231): This course is an introduction to the design and analysis of efficient algorithms. It covers topics such as models of computation, efficient sorting and searching, algorithms for graph problems, and dynamic programming. The course is taught by Tim Roughgarden and is worth 3.00 points
3
2
.
Introduction to Computational Complexity (COMS W 4236): This course covers the basics of computational complexity theory, including the theory of NP-hardness, reductions, and fine-grained complexity. It also covers topics such as circuit complexity, communication complexity, and interactive proofs. The course is taught by Henry Yuen and is worth 3.00 points
2
.
Algorithms for Data Science (CSOR W 4246): This course covers algorithms and data structures that are commonly used in data science applications. Topics include hashing, sketching, streaming, nearest neighbor search, and graph algorithms. The course is taught by Eleni Drinea and is worth 3.00 points
2
.
Introduction to Computational Learning Theory (COMS W 4252): This course covers the theoretical foundations of machine learning, including PAC learning, VC dimension, and boosting. It also covers topics such as online learning, kernel methods, and support vector machines. The course is taught by Rocco Servedio and is worth 3.00 points
2
.
Overall, these courses cover a range of topics related to the analysis of algorithms, including computational complexity theory, data structures, and machine learning. Students will learn how to design and analyze efficient algorithms, measure their efficiency, and apply them to real-world problems. They will also develop skills in programming, mathematical reasoning, and problem-solving. The courses include projects and assignments that allow students to apply the concepts they have learned and develop their programming skills.",,
VIRTUAL AND AUGMENTED REALITY,3,"Xia Zhou, Augustin Chaintreau, Sambit Sahu, Joshua H Alman, Junfeng Yang, Kaoutar El Maghraoui, Steven K Feiner, Alexandr Andoni, Bjarne Stroustrup, Kathleen Mckeown, Elias Bareinboim, Xi Chen, Alp Kucukelbir, Rachel Cummings, Kenneth Marino, Ronghui Gu, Ethan Katz-Bassett, Kostis Kaffes, Homayoon S Beigi, Lydia Chilton",Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit.,"The course ""3D User Interfaces and Augmented Reality"" (COMS W4172) is offered by the Computer Science Department at Columbia University. The course focuses on the design and implementation of 3D user interfaces and augmented reality systems. The course covers topics such as 3D interaction techniques, spatial cognition, 3D modeling, and rendering. The course also covers the use of augmented reality in various applications such as gaming, education, and entertainment. The course is designed for students who have a background in computer graphics, computer vision, or human-computer interaction.
The course is divided into several modules, each covering a different aspect of 3D user interfaces and augmented reality. The first module covers the basics of 3D graphics and rendering, including 3D modeling, lighting, and shading. The second module covers 3D interaction techniques, including selection, manipulation, and navigation. The third module covers spatial cognition and perception, including the use of virtual environments to study spatial cognition. The fourth module covers augmented reality, including the use of AR in gaming, education, and entertainment. The fifth module covers advanced topics in 3D user interfaces and augmented reality, including haptic feedback, multimodal interfaces, and collaborative environments.
The course includes several projects that allow students to apply the concepts learned in class to real-world problems. The projects involve designing and implementing 3D user interfaces and augmented reality systems. The projects are designed to be challenging and require students to work in teams to complete them.
By the end of the course, students will have gained knowledge and skills in 3D graphics, rendering, 3D interaction techniques, spatial cognition, and augmented reality. They will also have gained experience in designing and implementing 3D user interfaces and augmented reality systems. The course prepares students for careers in fields such as gaming, entertainment, education, and research.",,
NATURAL LANG GEN SUMMARIZ,3,"Xia Zhou, Augustin Chaintreau, Sambit Sahu, Joshua H Alman, Junfeng Yang, Kaoutar El Maghraoui, Steven K Feiner, Alexandr Andoni, Bjarne Stroustrup, Kathleen Mckeown, Elias Bareinboim, Xi Chen, Alp Kucukelbir, Rachel Cummings, Kenneth Marino, Ronghui Gu, Ethan Katz-Bassett, Kostis Kaffes, Homayoon S Beigi, Lydia Chilton",Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit.,"The course NATURAL LANG GEN SUMMARIZ is offered by Columbia University and is taught by Kathleen McKeown, who is a professor of computer science and the founding director of Columbia's Data Science Institute
3
. The course is designed for students who have received a B or better in COMS 4705 (NLP) or equivalent, and the version of NLP that they took must have covered deep learning
1
. The course explores four main topics: language generation, multimodal generation, summarization, and long-format question answering
2
. The course will cover large language models that have been used for these different tasks and issues that arise
2
.
The course follows a seminar style and includes a mixture of lectures from the instructor, guest lectures, and student presentations
2
. For each class, there will be a reading assignment consisting of several research papers, and students are responsible for reading all papers
2
. Students will be part of a presentation group that will be responsible for presenting a paper and raising critiques about one or more papers in class
2
. Each student will carry out a semester-long project, and they will be required to submit a proposal for the project near the beginning of class, turn in a midterm progress report, and submit a final report and code for their project
2
. They will do a short video presentation, which will be made available to the class, the TAs, and the instructor for viewing
2
. There will be no midterm or final
2
.
The syllabus for the course is subject to change, but it will give students a good idea of what will be covered
1
. The syllabus includes a list of topics, speakers, readings, and assignments for each week
1
. The course covers a range of topics, including large language models, controllable language generation, decoding diversity in generation, factuality, evaluation, medical summarization, and query-focused summarization
1
. Students will learn how to generate language for different purposes and produce summaries of input documents
2
. They will also learn how to use large language models for different tasks and how to address issues that arise
2
. The course will help students develop skills in reading research papers, participating in discussions, and presenting their work
2
. By the end of the course, students will have gained knowledge and abilities in natural language processing, summarization, natural language generation, and analysis of social media
3
.",,
ENGR WEB3 BLOCKCHAIN APPS,3,"Xia Zhou, Augustin Chaintreau, Sambit Sahu, Joshua H Alman, Junfeng Yang, Kaoutar El Maghraoui, Steven K Feiner, Alexandr Andoni, Bjarne Stroustrup, Kathleen Mckeown, Elias Bareinboim, Xi Chen, Alp Kucukelbir, Rachel Cummings, Kenneth Marino, Ronghui Gu, Ethan Katz-Bassett, Kostis Kaffes, Homayoon S Beigi, Lydia Chilton",Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit.,"The course ""Engineering Blockchain and Web3 Apps"" is offered by Columbia University's Computer Science department and is taught by Professor Junfeng Yang
1
. The course covers the technical aspects of cryptocurrencies, blockchain technologies, and distributed consensus. Students will learn how these systems work and how to build decentralized applications using blockchain and Web3 technologies
1
. The course syllabus includes the following topics:
Introduction to blockchain and cryptocurrencies
Consensus algorithms and distributed systems
Smart contracts and decentralized applications
Ethereum and Solidity programming
Web3.js and front-end development
Rollups and Validium
2
The course also includes several projects, including building a decentralized application using Ethereum and Solidity, and implementing a Rollup or Validium solution
2
. Students will learn skills such as blockchain development, smart contract programming, and front-end development using Web3.js
1
. They will also gain knowledge of blockchain technologies, consensus algorithms, and decentralized applications
1
. The course emphasizes hands-on experience with blockchain technologies and practical application of protective technologies in real-world systems
5
. Overall, the course aims to provide students with a deep understanding of blockchain technology and the ability to build decentralized applications using blockchain and Web3 technologies.",,
TOPICS IN MOBILE X,3,"Xia Zhou, Augustin Chaintreau, Sambit Sahu, Joshua H Alman, Junfeng Yang, Kaoutar El Maghraoui, Steven K Feiner, Alexandr Andoni, Bjarne Stroustrup, Kathleen Mckeown, Elias Bareinboim, Xi Chen, Alp Kucukelbir, Rachel Cummings, Kenneth Marino, Ronghui Gu, Ethan Katz-Bassett, Kostis Kaffes, Homayoon S Beigi, Lydia Chilton",Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit.,"""Topics in Mobile X"" is an upper-level course offered by the Department of Computer Science at Columbia University. The course is designed for students who have good programming skills and project experiences
1
. The course covers a broad range of advanced and interdisciplinary topics in mobile computing, networking, and applications. The course aims to teach students key principles in mobile computing research, understand the state of the art in this research area, and gain experiences of carrying out original research through class projects
1
.
The course covers various topics that center on unique challenges faced on bringing computation, networking, and applications to the mobile computing platform. The platform is constrained in form factor, energy, and computation power, with examples such as smartphones, smartwatches or wristbands, smart glasses, and more
1
. Some of the topics covered in the course include:
Mobile communication and networking
Mobile sensing
Mobile human-to-computer interaction (HCI)
Mobile learning/AI
Mobile security
For each topic, the course covers both conventional perspectives and recent research trends. The course aims to generate publishable results by the end of the term through class projects
1
. The course requires students to have good programming skills and project experiences. The course is an upper-level course on mobile computing and ubiquitous systems
1
.
The course does not have a specific textbook, but the following books are recommended as references:
Wireless Communications: Principles and Practice by Theodore Rappaport
Wireless Communications and Networks by William Stallings
Wireless Networking Complete by Pei Zheng, Larry L. Peterson, Bruce S. Davie, and Adrian Farrel
Computer Networking: A Top-Down Approach by James Kurose and Keith Ross
Computer Networks: A Systems Approach by Larry Peterson and Bruce Davie
1
.",,
