Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Advanced operating system topics,"Students will acquire knowledge about advanced topics in operating systems, including distributed operating systems, file system design, virtual memory management, real-time systems, proportional share resource management, operating system structure and extension techniques, and protection and security.","OPERATING SYSTEMS, II",3.0,,Advanced operating system topics
Cloud systems,"Students will acquire knowledge about cloud systems and their components, such as virtualization and containers.",CLOUD COMPUTING,3.0,,Cloud computing
Parallel processing in the cloud,Students will learn about parallel processing techniques used in cloud computing.,CLOUD COMPUTING,3.0,,Cloud computing
Distributed storage systems,Students will gain knowledge about distributed storage systems and their role in large-scale systems.,CLOUD COMPUTING,3.0,,Distributed operating systems
Security in the cloud,Students will learn about security measures and practices in cloud computing.,CLOUD COMPUTING,3.0,,Cloud computing
Multicore operating systems,Students will acquire knowledge about operating systems designed for multicore processors.,CLOUD COMPUTING,3.0,,Distributed operating systems
Technical aspects of anonymity and privacy,"Students will acquire knowledge about the technical aspects of online privacy and anonymity, including traffic analysis, biometrics, and authentication.",ANONYMITY & PRIVACY,3.0,,Data Privacy Analysis
Legal aspects of anonymity and privacy,"Students will learn about the legal frameworks and regulations surrounding free speech, anonymity, and privacy in the digital age.",ANONYMITY & PRIVACY,3.0,,Legal aspects of anonymity and privacy
Current issues and trends,"Students will gain knowledge about the current issues and trends in online privacy and anonymity, enabling them to navigate the rapidly evolving landscape.",ANONYMITY & PRIVACY,3.0,,Current issues and trends
Research methodologies,Students will learn about research methodologies and techniques to gather and analyze information related to anonymity and privacy.,ANONYMITY & PRIVACY,3.0,,Research
Ethical considerations,Students will develop an understanding of the ethical considerations involved in the use of anonymity and privacy in the digital world.,ANONYMITY & PRIVACY,3.0,,Ethical Considerations
Understanding the state of threats against computers and networked systems,Students will gain knowledge about the current landscape of threats and attacks targeting computers and networked systems.,INTRUSION DETECTION SYSTE,3.0,,Understanding the state of threats against computers and networked systems
Computer security solutions and their limitations,Students will learn about different computer security solutions and understand why they may fail in detecting and preventing intrusions.,INTRUSION DETECTION SYSTE,3.0,,Computer security solutions and their limitations
Vulnerability analysis,Students will acquire knowledge about vulnerability analysis techniques to identify potential weaknesses in systems.,INTRUSION DETECTION SYSTE,3.0,,Malicious code analysis
Anomaly detection,Students will learn about anomaly detection methods to identify abnormal behavior patterns that may indicate intrusions.,INTRUSION DETECTION SYSTE,3.0,,Anomaly detection
Malicious code detection,Students will gain knowledge about techniques and tools used to detect and analyze malicious code in intrusion detection systems.,INTRUSION DETECTION SYSTE,3.0,,Malicious code analysis
