Skill_columbia,Explanation_columbia,Related Course_columbia,Credits_columbia,Semester_columbia,Collapsed Skill,Skill_mit,Explanation_mit,Related Course_mit,Credits_mit,Semester_mit
Distributed operating systems,Students will gain proficiency in understanding and designing distributed operating systems.,"OPERATING SYSTEMS, II",3.0,,Distributed operating systems,Operating systems,"Students will gain proficiency in understanding and working with operating systems, including handling and manipulating hardware and software resources.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
Distributed operating systems,Students will gain proficiency in understanding and designing distributed operating systems.,"OPERATING SYSTEMS, II",3.0,,Distributed operating systems,Peer-to-peer (P2P) systems,Students will learn about P2P systems and how to design and build distributed systems using this decentralized approach.,"6.5840 Distributed Computer Systems Engineering
",1.0,Fall 2023
File system design,Students will learn how to design file systems for operating systems.,"OPERATING SYSTEMS, II",3.0,,File system design,,,,,
Operating system design and implementation,Students will gain proficiency in designing and implementing operating systems.,OPERATING SYSTEMS I,3.0,,File system design,,,,,
Virtual memory management,Students will develop skills in managing virtual memory in operating systems.,"OPERATING SYSTEMS, II",3.0,,Virtual memory management,Memory management,"Students will learn about memory management, including how different data structures are stored in memory, the stack, and the heap.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
Virtual memory management,Students will develop skills in managing virtual memory in operating systems.,"OPERATING SYSTEMS, II",3.0,,Virtual memory management,Memory management,"Students will develop skills in understanding how different data structures are stored in memory, including the stack and the heap.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Memory management,"Students will develop skills in memory management, including dynamic memory allocation, garbage collection, and identifying memory leaks.",ADVANCED PROGRAMMING,4.0,,Virtual memory management,Memory management,"Students will learn about memory management, including how different data structures are stored in memory, the stack, and the heap.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
Memory management,"Students will develop skills in memory management, including dynamic memory allocation, garbage collection, and identifying memory leaks.",ADVANCED PROGRAMMING,4.0,,Virtual memory management,Memory management,"Students will develop skills in understanding how different data structures are stored in memory, including the stack and the heap.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Memory management,Students will learn how to manage memory effectively in programming languages.,PROGRAMMING LANG & TRANSL,3.0,,Virtual memory management,Memory management,"Students will learn about memory management, including how different data structures are stored in memory, the stack, and the heap.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
Memory management,Students will learn how to manage memory effectively in programming languages.,PROGRAMMING LANG & TRANSL,3.0,,Virtual memory management,Memory management,"Students will develop skills in understanding how different data structures are stored in memory, including the stack and the heap.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Real-time systems,Students will learn how to design and manage real-time systems in operating systems.,"OPERATING SYSTEMS, II",3.0,,Real-time systems,,,,,
Protection and security,Students will gain knowledge and skills in implementing protection and security measures in operating systems.,"OPERATING SYSTEMS, II",3.0,,Protection and security,Security and privacy,"Students will learn about security and privacy measures in computer systems, including handling and manipulating security protocols and implementing privacy controls.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
Mobile security,Students will learn about the principles and practices of securing mobile devices and networks.,TOPICS IN MOBILE X,3.0,,Protection and security,Security and privacy,"Students will learn about security and privacy measures in computer systems, including handling and manipulating security protocols and implementing privacy controls.","6.1800 Computer Systems Engineering
",1.0,Fall 2023
Cloud computing,Students will gain proficiency in utilizing cloud services to build distributed and scalable analytics applications.,CLOUD COMPUTING,3.0,,Cloud computing,,,,,
Cloud computing infrastructure,Students will gain proficiency in understanding and managing cloud computing infrastructure.,CLOUD COMPUTING & BIG DATA,3.0,,Cloud computing,,,,,
Design and build extremely large-scale systems using real cloud platforms and services,Students will learn how to design and construct large-scale systems using cloud platforms and services.,TOPICS CLOUD COMPUTING,3.0,,Cloud computing,,,,,
Physical computing,"Students will learn the foundations of physical computing, including working with micro-controllers, sensors, and actuators.",COMPUTING IN ART,4.0,,Cloud computing,,,,,
SaaS architecture,"Students will learn how to design and implement a Software as a Service (SaaS) architecture, which involves delivering software over the internet on a subscription basis.",ADVANCED SOFTWARE ENGINEE,3.0,,Cloud computing,,,,,
Quantum computing,Students will gain proficiency in the theory and principles of quantum computing.,INTRO TO QUANTUM COMPUTIN,3.0,,Cloud computing,,,,,
Python programming,Students are expected to possess basic Python 3 programming skills and will further develop their programming abilities through class exercises and programming assignments.,CLOUD COMPUTING,3.0,,Python programming,Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Python programming,Students are expected to possess basic Python 3 programming skills and will further develop their programming abilities through class exercises and programming assignments.,CLOUD COMPUTING,3.0,,Python programming,C programming,"Students will gain proficiency in programming in the C language, which is a prerequisite for the course.","6.5810 Operating System Engineering
",1.0,Fall 2023
Python programming,Students are expected to possess basic Python 3 programming skills and will further develop their programming abilities through class exercises and programming assignments.,CLOUD COMPUTING,3.0,,Python programming,C programming,"Students will gain proficiency in the C programming language, which is essential for low-level programming.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Python programming,Students are expected to possess basic Python 3 programming skills and will further develop their programming abilities through class exercises and programming assignments.,CLOUD COMPUTING,3.0,,Python programming,Python programming,"Students will gain proficiency in programming in Python, as they complete weekly programming assignments.","6.4550[J] Interactive Music Systems
",1.0,Fall 2023
Python programming,"Students will develop proficiency in Python programming, specifically for data analytics, which is essential for implementing machine learning algorithms.",HIGH PERF MACH LEARNING,3.0,,Python programming,Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Python programming,"Students will develop proficiency in Python programming, specifically for data analytics, which is essential for implementing machine learning algorithms.",HIGH PERF MACH LEARNING,3.0,,Python programming,C programming,"Students will gain proficiency in programming in the C language, which is a prerequisite for the course.","6.5810 Operating System Engineering
",1.0,Fall 2023
Python programming,"Students will develop proficiency in Python programming, specifically for data analytics, which is essential for implementing machine learning algorithms.",HIGH PERF MACH LEARNING,3.0,,Python programming,C programming,"Students will gain proficiency in the C programming language, which is essential for low-level programming.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Python programming,"Students will develop proficiency in Python programming, specifically for data analytics, which is essential for implementing machine learning algorithms.",HIGH PERF MACH LEARNING,3.0,,Python programming,Python programming,"Students will gain proficiency in programming in Python, as they complete weekly programming assignments.","6.4550[J] Interactive Music Systems
",1.0,Fall 2023
Programming in Python,Students will learn the fundamentals of programming using the Python language.,INTRO TO INFORMATION SCIE,3.0,,Python programming,Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Programming in Python,Students will learn the fundamentals of programming using the Python language.,INTRO TO INFORMATION SCIE,3.0,,Python programming,C programming,"Students will gain proficiency in programming in the C language, which is a prerequisite for the course.","6.5810 Operating System Engineering
",1.0,Fall 2023
Programming in Python,Students will learn the fundamentals of programming using the Python language.,INTRO TO INFORMATION SCIE,3.0,,Python programming,C programming,"Students will gain proficiency in the C programming language, which is essential for low-level programming.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Programming in Python,Students will learn the fundamentals of programming using the Python language.,INTRO TO INFORMATION SCIE,3.0,,Python programming,Python programming,"Students will gain proficiency in programming in Python, as they complete weekly programming assignments.","6.4550[J] Interactive Music Systems
",1.0,Fall 2023
Python programming,"Students will learn introductory Python programming skills, which will enable them to write code and solve problems using Python.",COMPUTING IN ART,4.0,,Python programming,Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Python programming,"Students will learn introductory Python programming skills, which will enable them to write code and solve problems using Python.",COMPUTING IN ART,4.0,,Python programming,C programming,"Students will gain proficiency in programming in the C language, which is a prerequisite for the course.","6.5810 Operating System Engineering
",1.0,Fall 2023
Python programming,"Students will learn introductory Python programming skills, which will enable them to write code and solve problems using Python.",COMPUTING IN ART,4.0,,Python programming,C programming,"Students will gain proficiency in the C programming language, which is essential for low-level programming.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Python programming,"Students will learn introductory Python programming skills, which will enable them to write code and solve problems using Python.",COMPUTING IN ART,4.0,,Python programming,Python programming,"Students will gain proficiency in programming in Python, as they complete weekly programming assignments.","6.4550[J] Interactive Music Systems
",1.0,Fall 2023
Java programming,"Students will learn how to write programs in Java, a popular programming language used in industry and academia.",INTRO-COMPUT SCI/PROG IN,3.0,,Python programming,Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Java programming,"Students will learn how to write programs in Java, a popular programming language used in industry and academia.",INTRO-COMPUT SCI/PROG IN,3.0,,Python programming,C programming,"Students will gain proficiency in programming in the C language, which is a prerequisite for the course.","6.5810 Operating System Engineering
",1.0,Fall 2023
Java programming,"Students will learn how to write programs in Java, a popular programming language used in industry and academia.",INTRO-COMPUT SCI/PROG IN,3.0,,Python programming,C programming,"Students will gain proficiency in the C programming language, which is essential for low-level programming.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Java programming,"Students will learn how to write programs in Java, a popular programming language used in industry and academia.",INTRO-COMPUT SCI/PROG IN,3.0,,Python programming,Python programming,"Students will gain proficiency in programming in Python, as they complete weekly programming assignments.","6.4550[J] Interactive Music Systems
",1.0,Fall 2023
Java programming,Students will gain proficiency in using Java to implement object-oriented design principles.,Clean Object-Oriented Des,3.0,,Python programming,Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Java programming,Students will gain proficiency in using Java to implement object-oriented design principles.,Clean Object-Oriented Des,3.0,,Python programming,C programming,"Students will gain proficiency in programming in the C language, which is a prerequisite for the course.","6.5810 Operating System Engineering
",1.0,Fall 2023
Java programming,Students will gain proficiency in using Java to implement object-oriented design principles.,Clean Object-Oriented Des,3.0,,Python programming,C programming,"Students will gain proficiency in the C programming language, which is essential for low-level programming.","6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Java programming,Students will gain proficiency in using Java to implement object-oriented design principles.,Clean Object-Oriented Des,3.0,,Python programming,Python programming,"Students will gain proficiency in programming in Python, as they complete weekly programming assignments.","6.4550[J] Interactive Music Systems
",1.0,Fall 2023
