Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Problem-solving,"Students will develop the ability to solve complex problems in computational genomics, which involves applying their skills and knowledge to overcome challenges.",COMPUTATIONAL GENOMICS,3,Spring 2023,Collaborative problem-solving
Communication,"Students will enhance their ability to communicate effectively about computational genomics, both verbally and in writing, to convey their findings and insights.",COMPUTATIONAL GENOMICS,3,Spring 2023,Communication
Data interpretation,"Students will develop the ability to interpret and analyze genomic data, extracting meaningful information and drawing conclusions.",COMPUTATIONAL GENOMICS,3,Spring 2023,Data analysis and interpretation
Algorithmic thinking,"Students will develop the ability to think algorithmically, breaking down complex problems into smaller, manageable steps for analysis and solution.",COMPUTATIONAL GENOMICS,3,Spring 2023,Algorithmic thinking
Critical thinking,Students will enhance their ability to think critically and evaluate the validity and reliability of computational genomics techniques and results.,COMPUTATIONAL GENOMICS,3,Spring 2023,Critical thinking
Problem-solving,"Students will develop the ability to solve complex problems in computational genomics, which involves applying their skills and knowledge to overcome challenges.",COMPUTATIONAL GENOMICS,3,Spring 2023,Collaborative problem-solving
Communication,"Students will enhance their ability to communicate effectively about computational genomics, both verbally and in writing, to convey their findings and insights.",COMPUTATIONAL GENOMICS,3,Spring 2023,Communication
Data interpretation,"Students will develop the ability to interpret and analyze genomic data, extracting meaningful information and drawing conclusions.",COMPUTATIONAL GENOMICS,3,Spring 2023,Data analysis and interpretation
Algorithmic thinking,"Students will develop the ability to think algorithmically, breaking down complex problems into smaller, manageable steps for analysis and solution.",COMPUTATIONAL GENOMICS,3,Spring 2023,Algorithmic thinking
Critical thinking,Students will enhance their ability to think critically and evaluate the validity and reliability of computational genomics techniques and results.,COMPUTATIONAL GENOMICS,3,Spring 2023,Critical thinking
Problem-solving,Students will develop the ability to analyze complex database problems and devise effective solutions.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Collaborative problem-solving
Critical thinking,Students will enhance their critical thinking skills by evaluating and assessing different database design and optimization strategies.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Critical thinking
Collaboration,"Students will develop the ability to work effectively in teams on database projects, fostering collaboration and teamwork.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Research collaboration
Research skills,Students will enhance their research skills by exploring and evaluating academic papers and industry reports on database systems.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Research skills
