Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
COMPUTATIONAL GENOMICS,3,Itsik Pe'Er,0,"Prerequisites: Working knowledge of at least one programming language, and some background in probability and statistics. Computational techniques for analyzing genomic data including DNA, RNA, protein and gene expression data. Basic concepts in molecular biology relevant to these analyses. Emphasis on techniques from artificial intelligence and machine learning. String-matching algorithms, dynamic programming, hidden Markov models, expectation-maximization, neural networks, clustering algorithms, support vector machines. Students with life sciences backgrounds who satisfy the prerequisites are encouraged to enroll.", ,Spring 2023
COMPUTATIONAL GENOMICS,3,Itsik Pe'Er,0,"Prerequisites: Working knowledge of at least one programming language, and some background in probability and statistics. Computational techniques for analyzing genomic data including DNA, RNA, protein and gene expression data. Basic concepts in molecular biology relevant to these analyses. Emphasis on techniques from artificial intelligence and machine learning. String-matching algorithms, dynamic programming, hidden Markov models, expectation-maximization, neural networks, clustering algorithms, support vector machines. Students with life sciences backgrounds who satisfy the prerequisites are encouraged to enroll.", ,Spring 2023
ADVANCED DATABASE SYSTEMS,3,Luis Gravano,0,"Prerequisites: (COMS W4111) and working knowledge of Python, or instructor's permission. Continuation of (COMS W4111), covers the latest trends in both database research and industry. Programming projects in Python are required.", ,Spring 2023
ADVANCED DATABASE SYSTEMS,3,Luis Gravano,0,"Prerequisites: (COMS W4111) and working knowledge of Python, or instructor's permission. Continuation of (COMS W4111), covers the latest trends in both database research and industry. Programming projects in Python are required.", ,Spring 2023
Topics in Database System,3,Eugene Wu,0,"The course ""Topics in Database Systems"" at Columbia University is a graduate-level class that focuses on the research and design of database internals and systems design
1
. The course is not offered during the 2023-2024 academic year
5
. The main goal of the course is to provide students with a deeper understanding of advanced database concepts and the latest trends in both database research and industry
5
.
The course builds upon the knowledge gained in the prerequisite course ""Introduction to Databases"" (COMS W4111)
4
. Students are expected to have a strong foundation in database design and application development using databases, including entity-relationship modeling, logical design of relational databases, and relational data definition and manipulation
4
.
Course Content
The course covers a range of topics related to database systems, including:
Database internals: Students will learn about the internal workings of database systems, including storage management, query processing, and transaction management
1
.
Systems design: The course will explore various design principles and techniques for building efficient and scalable database systems
1
.
Advanced database concepts: Students will study advanced topics such as distributed databases, parallel databases, and data stream processing
1
.
Latest trends in database research and industry: The course will cover recent developments in the field, including new database models, NoSQL databases, and big data processing
1
.
Projects
The course includes programming projects that allow students to apply the concepts and techniques learned in class. The projects are implemented in Python
5
.
Learning Outcomes
By the end of the course, students should have:
A deeper understanding of database internals and systems design
1
.
Knowledge of advanced database concepts and the latest trends in the field
5
.
The ability to design and implement efficient and scalable database systems
1
.
Experience working on real-world database projects
5
.", ,Spring 2023
TOPICS IN SOFTWARE ENGINE,3,Gail E Kaiser,0,"Topics in Software engineering arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes, it may be repeated for credit with advisor approval. Consult the department for section assignment.", ,Spring 2023
Human-Computer Interactio,3,Brian A Smith,0,"Human–computer interaction (HCI) studies (1) what computers are used for, (2) how people interact with computers, and (3) how either of those should change in the future. Topics include ubiquitous computing, mobile health, interaction techniques, social computing, mixed reality, accessibility, and ethics. Activities include readings, presentations, and discussions of research papers. Substantial HCI research project required.", ,Spring 2023
Human-Computer Interactio,3,Brian A Smith,0,"Human–computer interaction (HCI) studies (1) what computers are used for, (2) how people interact with computers, and (3) how either of those should change in the future. Topics include ubiquitous computing, mobile health, interaction techniques, social computing, mixed reality, accessibility, and ethics. Activities include readings, presentations, and discussions of research papers. Substantial HCI research project required.", ,Spring 2023
TECH WRITING FOR CS AND E,3,Janet Kayfetz,0,"Prerequisites: Available to M.S. and Ph.D candidates in CS/CE. Topics to help CS/CE graduate students’ communication skills. Emphasis on writing, presenting clear, concise proposals, journal articles, conference papers, theses, and technical presentations.  Credit may not be used to satisfy degree requirements.", ,Spring 2023
PRIVACY PRESERVING SYS,3,"Stephen A Edwards, Christos H Papadimitriou, Roxana Geambasu, Sambit Sahu, Julia Hirschberg, Parijat Dube, Homayoon S Beigi",0,Prerequisites: Instructors permission. Selected topics in computer science. Content varies from year to year. May be repeated for credit., ,Spring 2023
