Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Probability and statistics,"Students are expected to have a background in probability and statistics, which is a body of information that can be applied in analyzing genomic data.",COMPUTATIONAL GENOMICS,3,Spring 2023,Probability and statistics
Molecular biology,"Students will learn basic concepts in molecular biology relevant to the analysis of genomic data, which is a specific knowledge area required for understanding the data being analyzed.",COMPUTATIONAL GENOMICS,3,Spring 2023,Molecular biology
Genomic data analysis,"Students will acquire knowledge about the specific techniques and methodologies used in analyzing DNA, RNA, protein, and gene expression data.",COMPUTATIONAL GENOMICS,3,Spring 2023,Computational genomics
Artificial intelligence and machine learning,Students will gain knowledge about the principles and applications of artificial intelligence and machine learning in the context of computational genomics.,COMPUTATIONAL GENOMICS,3,Spring 2023,Artificial intelligence
Support vector machines,"Students will learn about support vector machines, which is a specific knowledge area related to classification and regression analysis in genomic data.",COMPUTATIONAL GENOMICS,3,Spring 2023,Support vector machines
Probability and statistics,"Students are expected to have a background in probability and statistics, which is a body of information that can be applied in analyzing genomic data.",COMPUTATIONAL GENOMICS,3,Spring 2023,Probability and statistics
Molecular biology,"Students will learn basic concepts in molecular biology relevant to the analysis of genomic data, which is a specific knowledge area required for understanding the data being analyzed.",COMPUTATIONAL GENOMICS,3,Spring 2023,Molecular biology
Genomic data analysis,"Students will acquire knowledge about the specific techniques and methodologies used in analyzing DNA, RNA, protein, and gene expression data.",COMPUTATIONAL GENOMICS,3,Spring 2023,Computational genomics
Artificial intelligence and machine learning,Students will gain knowledge about the principles and applications of artificial intelligence and machine learning in the context of computational genomics.,COMPUTATIONAL GENOMICS,3,Spring 2023,Artificial intelligence
Support vector machines,"Students will learn about support vector machines, which is a specific knowledge area related to classification and regression analysis in genomic data.",COMPUTATIONAL GENOMICS,3,Spring 2023,Support vector machines
Advanced database concepts,"Students will acquire knowledge of advanced database concepts such as indexing, normalization, and transaction management.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Advanced database concepts
Database research trends,"Students will learn about the latest trends and advancements in database research, including new technologies and techniques.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Database research trends
Data security,Students will gain knowledge of best practices and techniques for ensuring data security and privacy in database systems.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Data encryption
Data warehousing,"Students will learn about the concepts and techniques of data warehousing, including data integration and data mining.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Data warehousing
Distributed databases,"Students will acquire knowledge of distributed database systems and their design principles, including replication and partitioning.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Distributed databases
Advanced database concepts,"Students will learn advanced concepts in database systems, such as transaction management, concurrency control, and distributed databases.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Advanced database concepts
Data security and privacy,"Students will gain knowledge of best practices and techniques for securing databases and protecting sensitive data, including encryption, access control, and auditing.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Privacy and data mining
Big data technologies,"Students will be introduced to big data technologies and frameworks, such as Hadoop and Spark, and understand their role in handling large-scale data processing and analytics.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Big data storage
Data mining and machine learning,Students will learn about data mining techniques and machine learning algorithms used for extracting valuable insights from databases and making predictions.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Advanced machine learning
Cloud databases,"Students will gain an understanding of cloud-based database systems, including concepts like database as a service (DBaaS) and scalability in the cloud environment.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Cloud computing systems
Database internals,"Students will learn about the internal workings of database systems, which is a body of information that can be applied in designing and optimizing databases.",Topics in Database System,3,Spring 2023,Database internals
Advanced database concepts,"Students will study advanced topics such as distributed databases, parallel databases, and data stream processing, expanding their knowledge in the field.",Topics in Database System,3,Spring 2023,Advanced database concepts
Software development lifecycle,"Students will learn about the different stages of software development, including requirements gathering, design, implementation, testing, and maintenance.",TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Software engineering practices
Software architecture,Students will gain knowledge of software architecture principles and patterns used in designing complex software systems.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Software architecture
Software project management,Students will learn about project management techniques and tools used in software development projects.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Software project management
Software quality assurance,Students will acquire knowledge of quality assurance practices and techniques to ensure the delivery of high-quality software.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Testing and quality assurance
Software security,Students will learn about common security vulnerabilities and techniques to secure software applications.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Software reliability
Human factors,"Students will learn about the psychological and physiological aspects of human-computer interaction, including perception, cognition, and ergonomics.",Human-Computer Interactio,3,Spring 2023,Human-centered design
Information architecture,Students will gain knowledge of organizing and structuring information in a way that facilitates efficient navigation and retrieval.,Human-Computer Interactio,3,Spring 2023,Information architecture
User-centered design,Students will understand the principles and methodologies of designing systems that prioritize the needs and preferences of users.,Human-Computer Interactio,3,Spring 2023,Human-centered design
Accessibility guidelines,Students will learn about accessibility standards and guidelines to ensure that computer systems are usable by individuals with disabilities.,Human-Computer Interactio,3,Spring 2023,Accessibility guidelines
Ethical considerations,"Students will explore ethical issues related to privacy, security, and the responsible use of technology in human-computer interaction.",Human-Computer Interactio,3,Spring 2023,Ethical Considerations
Human factors,"Students will learn about the psychological and physiological aspects of human-computer interaction, including perception, cognition, and ergonomics.",Human-Computer Interactio,3,Spring 2023,Human-centered design
Information architecture,Students will gain knowledge of organizing and structuring information in a way that facilitates efficient navigation and retrieval.,Human-Computer Interactio,3,Spring 2023,Information architecture
User-centered design,Students will understand the principles and methodologies of designing systems that prioritize the needs and preferences of users.,Human-Computer Interactio,3,Spring 2023,Human-centered design
Accessibility guidelines,Students will learn about accessibility standards and guidelines to ensure that computer systems are usable by individuals with disabilities.,Human-Computer Interactio,3,Spring 2023,Accessibility guidelines
Ethical considerations,"Students will explore ethical issues related to privacy, security, and the responsible use of technology in human-computer interaction.",Human-Computer Interactio,3,Spring 2023,Ethical Considerations
