Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Programming,"Students will gain proficiency in at least one programming language, which is a quantifiable skill that can be developed with practice.",COMPUTATIONAL GENOMICS,3,Spring 2023,Programming
Data analysis,"Students will learn computational techniques for analyzing genomic data, which involves handling and manipulating data to extract meaningful insights.",COMPUTATIONAL GENOMICS,3,Spring 2023,Data analysis and interpretation
Artificial intelligence,"Students will learn techniques from artificial intelligence and machine learning, which involves manipulating algorithms and models to solve complex problems.",COMPUTATIONAL GENOMICS,3,Spring 2023,Artificial intelligence
String-matching algorithms,"Students will learn about string-matching algorithms, which is a specific skill related to pattern recognition and sequence analysis in genomic data.",COMPUTATIONAL GENOMICS,3,Spring 2023,String-matching algorithms
Clustering algorithms,"Students will learn about clustering algorithms, which is a skill related to grouping similar data points together based on certain criteria.",COMPUTATIONAL GENOMICS,3,Spring 2023,Clustering algorithms
Programming,"Students will gain proficiency in at least one programming language, which is a quantifiable skill that can be developed with practice.",COMPUTATIONAL GENOMICS,3,Spring 2023,Programming
Data analysis,"Students will learn computational techniques for analyzing genomic data, which involves handling and manipulating data to extract meaningful insights.",COMPUTATIONAL GENOMICS,3,Spring 2023,Data analysis and interpretation
Artificial intelligence,"Students will learn techniques from artificial intelligence and machine learning, which involves manipulating algorithms and models to solve complex problems.",COMPUTATIONAL GENOMICS,3,Spring 2023,Artificial intelligence
String-matching algorithms,"Students will learn about string-matching algorithms, which is a specific skill related to pattern recognition and sequence analysis in genomic data.",COMPUTATIONAL GENOMICS,3,Spring 2023,String-matching algorithms
Clustering algorithms,"Students will learn about clustering algorithms, which is a skill related to grouping similar data points together based on certain criteria.",COMPUTATIONAL GENOMICS,3,Spring 2023,Clustering algorithms
Python programming,Students will develop proficiency in Python programming language through programming projects.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Python/R programming
Database management,"Students will learn how to effectively manage databases, including creating, updating, and querying databases.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Database Management
SQL,Students will gain advanced knowledge and skills in SQL (Structured Query Language) for manipulating and retrieving data from databases.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,SQL
Data modeling,Students will learn how to design and create data models for efficient and organized database structures.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Data manipulation
Data analysis,Students will develop skills in analyzing and interpreting data stored in databases to derive meaningful insights.,ADVANCED DATABASE SYSTEMS,3,Spring 2023,Data analysis and interpretation
Advanced SQL,"Students will further develop their proficiency in SQL, including complex queries, subqueries, and advanced data manipulation techniques.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Advanced SQL
Data modeling,"Students will learn how to design and implement complex data models for databases, including entity-relationship diagrams and normalization techniques.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Data manipulation
Database optimization,"Students will acquire skills in optimizing database performance, including indexing, query optimization, and database tuning.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Database Management
Data warehousing,"Students will gain knowledge and hands-on experience in designing and building data warehouses, including ETL (Extract, Transform, Load) processes and dimensional modeling.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,Data warehousing
NoSQL databases,"Students will explore and gain practical skills in working with non-relational databases, such as MongoDB or Cassandra, and understand their advantages and use cases.",ADVANCED DATABASE SYSTEMS,3,Spring 2023,NoSQL databases and big data
SQL,"Students will gain proficiency in SQL, which is a quantifiable skill that involves manipulating and querying databases.",Topics in Database System,3,Spring 2023,SQL
Python programming,"Students will implement programming projects in Python, developing their ability to handle and manipulate data using this language.",Topics in Database System,3,Spring 2023,Python/R programming
Programming,Students will develop proficiency in programming languages and techniques used in software engineering.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Programming
Software testing,"Students will learn how to test software for functionality, performance, and reliability.",TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Software reliability
Agile development,Students will gain knowledge and experience in agile software development methodologies.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Agile methodology
Version control,Students will learn how to use version control systems to manage and track changes in software projects.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,Version Control
User interface design,Students will acquire skills in designing user-friendly interfaces for software applications.,TOPICS IN SOFTWARE ENGINE,3,Spring 2023,3D User Interface Design
User interface design,"Students will learn how to design user-friendly interfaces for computer systems, websites, and mobile applications.",Human-Computer Interactio,3,Spring 2023,3D User Interface Design
Usability testing,Students will gain proficiency in conducting usability tests to evaluate the effectiveness and efficiency of user interfaces.,Human-Computer Interactio,3,Spring 2023,Usability testing
Prototyping,Students will develop the skill of creating interactive prototypes to visualize and test design concepts before implementation.,Human-Computer Interactio,3,Spring 2023,Rapid prototyping
User research,Students will learn various methods and techniques for gathering user feedback and conducting user-centered research.,Human-Computer Interactio,3,Spring 2023,User empathy
Interaction design,Students will acquire the ability to design intuitive and engaging interactions between users and computer systems.,Human-Computer Interactio,3,Spring 2023,Interaction design
User interface design,"Students will learn how to design user-friendly interfaces for computer systems, websites, and mobile applications.",Human-Computer Interactio,3,Spring 2023,3D User Interface Design
Usability testing,Students will gain proficiency in conducting usability tests to evaluate the effectiveness and efficiency of user interfaces.,Human-Computer Interactio,3,Spring 2023,Usability testing
Prototyping,Students will develop the skill of creating interactive prototypes to visualize and test design concepts before implementation.,Human-Computer Interactio,3,Spring 2023,Rapid prototyping
User research,Students will learn various methods and techniques for gathering user feedback and conducting user-centered research.,Human-Computer Interactio,3,Spring 2023,User empathy
Interaction design,Students will acquire the ability to design intuitive and engaging interactions between users and computer systems.,Human-Computer Interactio,3,Spring 2023,Interaction design
