Skill,Explanation,Related Course,Credits,Collapsed Skill,Program,Title,Professor,Professor Google Scholar Citations,Description,Semester
Problem-solving,"Students will develop the ability to analyze problems, break them down into smaller components, and devise effective solutions using programming techniques.",Intro to CS,3,Problem-solving,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Problem-solving,"Students will develop the ability to analyze problems, break them down into smaller components, and devise effective solutions using programming techniques.",Intro to CS,3,Problem-solving,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Communication,"Students will enhance their ability to effectively communicate their ideas, thoughts, and solutions both verbally and in writing.",Intro to CS,3,Communication,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Communication,"Students will enhance their ability to effectively communicate their ideas, thoughts, and solutions both verbally and in writing.",Intro to CS,3,Communication,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Organization,"Students will develop the ability to organize their code, files, and data structures in a structured and efficient manner.",Intro to CS,3,Organization,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Organization,"Students will develop the ability to organize their code, files, and data structures in a structured and efficient manner.",Intro to CS,3,Organization,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Analytical thinking,Students will cultivate the ability to analyze and evaluate complex problems and make informed decisions based on logical reasoning.,Intro to CS,3,,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Analytical thinking,Students will cultivate the ability to analyze and evaluate complex problems and make informed decisions based on logical reasoning.,Intro to CS,3,,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Debugging and troubleshooting,Students will acquire the ability to identify and fix errors and bugs in their code through systematic debugging and troubleshooting techniques.,Intro to CS,3,Debugging and troubleshooting,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Debugging and troubleshooting,Students will acquire the ability to identify and fix errors and bugs in their code through systematic debugging and troubleshooting techniques.,Intro to CS,3,Debugging and troubleshooting,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Problem-solving,Students will develop the ability to solve algorithmic problems through programming projects and assignments.,Intro to CS,3,Problem-solving,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Problem-solving,Students will develop the ability to solve algorithmic problems through programming projects and assignments.,Intro to CS,3,Problem-solving,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Communication,"Students will enhance their communication skills, both verbally and in writing, through various activities and assignments in the course.",Intro to CS,3,Communication,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Communication,"Students will enhance their communication skills, both verbally and in writing, through various activities and assignments in the course.",Intro to CS,3,Communication,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Organizational skills,"Although not explicitly mentioned in the course description, students may develop organizational skills as they manage their programming projects and assignments.",Intro to CS,3,Organizational skills,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Organizational skills,"Although not explicitly mentioned in the course description, students may develop organizational skills as they manage their programming projects and assignments.",Intro to CS,3,Organizational skills,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Analytical skills,"Although not explicitly mentioned in the course description, students may develop analytical skills as they analyze and understand programming concepts and problems.",Intro to CS,3,,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Analytical skills,"Although not explicitly mentioned in the course description, students may develop analytical skills as they analyze and understand programming concepts and problems.",Intro to CS,3,,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Collaboration,"Although not explicitly mentioned in the course description, students may have opportunities to collaborate with peers on programming projects, enhancing their ability to work in a team.",Intro to CS,3,Collaboration and Teamwork,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Collaboration,"Although not explicitly mentioned in the course description, students may have opportunities to collaborate with peers on programming projects, enhancing their ability to work in a team.",Intro to CS,3,Collaboration and Teamwork,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Problem-solving,Students will develop the ability to solve problems related to data structures and algorithms.,Data Structures,3,Problem-solving,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Problem-solving,Students will develop the ability to solve problems related to data structures and algorithms.,Data Structures,3,Problem-solving,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Programming,Students will enhance their programming abilities by implementing various data structures and algorithms in Java.,Data Structures,3,Programming,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Programming,Students will enhance their programming abilities by implementing various data structures and algorithms in Java.,Data Structures,3,Programming,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
Analytical thinking,Students will develop the ability to analyze and evaluate the efficiency of different data structure operations.,Data Structures,3,Cognitive Skills,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Analytical thinking,Students will develop the ability to analyze and evaluate the efficiency of different data structure operations.,Data Structures,3,Cognitive Skills,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
