Skill,Explanation,Related Course,Credits
Problem-solving,"Students will develop the ability to analyze problems, break them down into smaller components, and devise effective solutions using programming techniques.",Intro to CS,3
Communication,"Students will enhance their ability to effectively communicate their ideas, thoughts, and solutions both verbally and in writing.",Intro to CS,3
Organization,"Students will develop the ability to organize their code, files, and data structures in a structured and efficient manner.",Intro to CS,3
Analytical thinking,Students will cultivate the ability to analyze and evaluate complex problems and make informed decisions based on logical reasoning.,Intro to CS,3
Debugging and troubleshooting,Students will acquire the ability to identify and fix errors and bugs in their code through systematic debugging and troubleshooting techniques.,Intro to CS,3
Problem-solving,Students will develop the ability to solve problems related to data structures and algorithms.,Data Structures,3
Programming,Students will enhance their programming abilities by implementing various data structures and algorithms in Java.,Data Structures,3
Analytical thinking,Students will develop the ability to analyze and evaluate the efficiency of different data structure operations.,Data Structures,3
Collaboration,Students will enhance their ability to work in teams and collaborate on programming projects involving data structures.,Data Structures,3
Communication,Students will improve their ability to communicate their ideas and solutions related to data structures effectively.,Data Structures,3
Problem-solving,Students will develop strong problem-solving skills through hands-on programming assignments and projects.,Advanced Programming,4
Collaboration,"Students will enhance their ability to work effectively in teams, as they will be required to collaborate on group projects and participate in code reviews.",Advanced Programming,4
Critical thinking,Students will develop critical thinking skills by analyzing and evaluating different programming solutions and making informed decisions.,Advanced Programming,4
Code documentation,Students will learn how to write clear and concise code documentation to improve code readability and maintainability.,Advanced Programming,4
Software testing,"Students will gain the ability to design and implement effective software testing strategies, including unit testing, integration testing, and regression testing.",Advanced Programming,4
Problem-solving,Students will develop the ability to apply logical reasoning and mathematical techniques to solve complex problems in discrete mathematics and related areas.,Discrete Math,3
Analytical thinking,"Students will enhance their ability to analyze and break down complex problems into smaller, more manageable components, which is crucial in discrete mathematics and computer science.",Discrete Math,3
Abstract reasoning,"Students will improve their ability to think abstractly and conceptually, as discrete mathematics often deals with mathematical structures and concepts that are not directly observable in the physical world.",Discrete Math,3
Written communication,"Students will enhance their ability to communicate mathematical ideas and solutions effectively through written reports and explanations, which is important in academia and professional settings.",Discrete Math,3
Critical thinking,"Students will develop the ability to evaluate and critique mathematical arguments and proofs, and to identify logical fallacies and errors in reasoning, which is essential for rigorous mathematical thinking and problem-solving.",Discrete Math,3
Problem-solving,"Students will develop the ability to analyze and solve complex problems in the field of computer science theory, applying the concepts and techniques learned in the course.",CS Theory,3
Logical reasoning,"Students will enhance their ability to think logically and critically, as they engage with abstract concepts and proofs in the course.",CS Theory,3
Abstract thinking,"Students will develop the ability to think abstractly, as they work with formal languages, grammars, and theoretical models of computation.",CS Theory,3
Analytical thinking,"Students will strengthen their analytical skills, as they analyze the complexity of algorithms and problems, and evaluate their efficiency.",CS Theory,3
