Program,Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
COMS,Intro to CS,3,Paul S Blaer,551,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.","COMS W1004 - Introduction to Computer Science and Programming in Java

General Course Information
Fall 2023

Lectures:

Section 1: Mondays and Wednesdays from 2:40pm to 3:55pm in Room 309 Havemeyer Hall.  Also available via Zoom:
https://columbiauniversity.zoom.us/j/96796128116?pwd=eTk5eXdsWkJONVZCbHNEQzRhWWZaUT09
Section 2: Mondays and Wednesdays from 5:40pm to 6:55pm in Room 417 International Affairs Building  Also available via Zoom:
https://columbiauniversity.zoom.us/j/96604870336?pwd=WEJnNXFWSjhXWkl0YzVQczk5MjhVZz09
Course Description:

A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background.

Instructor:

Paul Blaer (pblaer@cs.columbia.edu)

Office Hours are posted on the front page of courseworks.

Teaching Assistants:

All TA/CA office hours on listed calendar.  A small number of office hours will be held online and will be marked on the calendar as such along with their Zoom link.  

TA/CA contact information and office hours can be found on the homepage.

Required Textbooks:

Cay Horstmann, Big Java: Early Objects, 7th Edition. Wiley, 2015, ISBN: 978-1-119-49909-1
Grading: 

Your course grade will be based on 10 homework assignments (50%), a midterm exam (20%) and a final exam (30%). 

Tentative Course Schedule:

Week 1 - Introduction, algorithmic problem solving.
Week 2 - More on algorithmic problem solving.  The Java programming language.
Week 3 - Writing and using classes.
Week 4 - The String class.  Representing information.
Week 5 - Iteration and conditionals. 
Week 6 - More on writing classes.  
Week 7 - Introduction to Arrays and ArrayLists.
Week 8 - More an Arrays and ArrayLists and Generics
Week  9 - Reading and writing files, IO and Exceptions
Week 10 - More on exceptions and Inheritance
Week 11 - More on Inheritance and Interfaces
Week 12 - Recursion, Recursive Algorithms, and an Introduction to Generics
Week 13 - An introduction to Data Structures and Linked Lists
Exam Schedule:  

There will be two exams  a midterm and a final exam.  Both exams are in person only. The midterm exam will be held during a regular class session, it is scheduled in place of lecture on Wednesday, October 18th.  The final exam is 2 hours and 50 minutes long and will be held during the registrar assigned exam slot. The registrar has not finalized the exam schedule for the semester yet, however based on the projected schedule section 1's final exam is expected to be held from 1:10pm to 4pm on Wednesday, December 20th and section 2's final exam is expected to be held from 4:10pm to 7pm also on Wednesday, December 20th. 

Homework:

There are 10 homework assignments - roughly 1 assignment will be due each week.  Half are programming assignments and half are written assignments. You will be given 8 late days (more than one minute late is considered a whole day).  You may use up to 2 late days on each individual assignment (up to a maximum of 8 across all assignments that allow late days).  There is one exception:  the final pair of assignments (9 and 10) may not be submitted late.

All homework must be done individually. Please review the Computer Science Department's policy on academic honesty.",Fall 2023
COMS,Data Structures,3,Brian Borowski,195,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",,Fall 2023
COMS,Advanced Programming,4,Jae W Lee,7694,"Prerequisites: (COMS W3134) or (COMS W3137) C programming language and Unix systems programming. Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.",,Fall 2023
COMS,Discrete Math,3,Tony B Dear,158,"Prerequisites: Any introductory course in computer programming. Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).",,Fall 2023
COMS,CS Theory,3,Toniann Pitassi,,"Prerequisites: (COMS W3203) Corequisites: COMS W3134,COMS W3136,COMS W3137 Regular languages: deterministic and non-deterministic finite automata, regular expressions. Context-free languages: context-free grammars, push-down automata. Turing machines, the Chomsky hierarchy, and the Church-Turing thesis. Introduction to Complexity Theory and NP-Completeness.",,Fall 2023
COMS,Fundamentals of Computer Systems,3,Martha A Kim,1776,"Prerequisites: an introductory programming course. Fundamentals of computer organization and digital logic. Boolean algebra, Karnaugh maps, basic gates and components, flipflops and latches, counters and state machines, basics of combinational and sequential digital design. Assembly language, instruction sets, ALU’s, single-cycle and multi-cycle processor design, introduction to pipelined processors, caches, and virtual memory.",,Fall 2023
MATH,Linear Algebra,3,George Dragomir,283,"Linear algebra with a focus on probability and statistics. The course covers the standard linear algebra topics: systems of linear equations, matrices, determinants, vector spaces, bases, dimension, eigenvalues and eigenvectors, the Spectral Theorem and singular value decompositions. It also teaches applications of linear algebra to probability, statistics and dynamical systems giving a background sufficient for higher level courses in probability and statistics. The topics covered in the probability theory part include conditional probability, discrete and continuous random variables, probability distributions and the limit theorems, as well as Markov chains, curve fitting, regression, and pattern analysis. The course contains applications to life sciences, chemistry, and environmental life sciences. No a prior i background in the life sciences is assumed.

This course is best suited for students who wish to focus on applications and practical approaches to problem solving. It is recommended to students majoring in engineering, technology, life sciences, social sciences, and economics. Math majors, joint majors, and math concentrators must take MATH UN2010 Linear Algebra, which focuses on linear algebra concepts and foundations that are needed for upper-level math courses. MATH UN2015 (Linear Algebra and Probability) does NOT replace MATH UN2010 (Linear Algebra) as prerequisite requirements of math courses. Students may not receive full credit for both courses MATH UN2010 and MATH UN2015.",,Fall 2023
STAT,Introduction to Statistics,3,Alexander Clark,3,"Prerequisites: intermediate high school algebra. Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement.",,Fall 2023
COMS,Introduction to Databases,3,Luis Gravano,17468,"Prerequisites: (COMS W3134) or (COMS W3137) or (COMS W3136) and fluency in Java); or the instructor's permission. The fundamentals of database design and application development using databases: entity-relationship modeling, logical design of relational databases, relational data definition and manipulation languages, SQL, XML, query processing, physical database tuning, transaction processing, security. Programming projects are required.",,Fall 2023
COMS,Distributed Systems Fundamentals,3,Roxana Geambasu,1895,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and (COMS W3157 or COMS W4118 or CSEE W4119) Design and implementation of large-scale distributed and cloud systems. Teaches abstractions, design and implementation techniques that enable the building of fast, scalable, fault-tolerant distributed systems. Topics include distributed communication models (e.g. sockets, remote procedure calls, distributed shared memory), distributed synchronization (clock synchronization, logical clocks, distributed mutex), distributed file systems, replication, consistency models, fault tolerance, distributed transactions, agreement and commitment, Paxos-based consensus, MapReduce infrastructures, scalable distributed databases. Combines concepts and algorithms with descriptions of real-world implementations at Google, Facebook, Yahoo, Microsoft, LinkedIn, etc.",,Fall 2023
