Skill,Explanation,Related Course,Credits,Collapsed Skill,Program,Title,Professor,Professor Google Scholar Citations,Description,Semester
Fundamental concepts of computer science,Students will acquire knowledge of the basic principles and theories that underlie computer science.,Intro to CS,3,,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Fundamental concepts of computer science,Students will acquire knowledge of the basic principles and theories that underlie computer science.,Intro to CS,3,,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Java programming language,"Students will learn about the syntax, features, and functionalities of the Java programming language.",Intro to CS,3,Java programming language,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Java programming language,"Students will learn about the syntax, features, and functionalities of the Java programming language.",Intro to CS,3,Java programming language,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Object-oriented programming,"Students will understand the concepts and principles of object-oriented programming, including encapsulation, inheritance, and polymorphism.",Intro to CS,3,Object-oriented programming,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Object-oriented programming,"Students will understand the concepts and principles of object-oriented programming, including encapsulation, inheritance, and polymorphism.",Intro to CS,3,Object-oriented programming,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
File handling and IO operations,"Students will gain knowledge of how to read from and write to files, as well as handle input/output operations in Java.",Intro to CS,3,File handling and IO operations,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
File handling and IO operations,"Students will gain knowledge of how to read from and write to files, as well as handle input/output operations in Java.",Intro to CS,3,File handling and IO operations,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Recursion and recursive algorithms,Students will learn about the concept of recursion and how to design and implement recursive algorithms.,Intro to CS,3,Recursion and recursive algorithms,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Recursion and recursive algorithms,Students will learn about the concept of recursion and how to design and implement recursive algorithms.,Intro to CS,3,Recursion and recursive algorithms,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Fundamental concepts of computer science,"Students will learn the foundational knowledge of computer science, including algorithms, data structures, and programming principles.",Intro to CS,3,,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Fundamental concepts of computer science,"Students will learn the foundational knowledge of computer science, including algorithms, data structures, and programming principles.",Intro to CS,3,,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Java programming language,Students will acquire knowledge of the Java programming language and its syntax.,Intro to CS,3,Java programming language,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Java programming language,Students will acquire knowledge of the Java programming language and its syntax.,Intro to CS,3,Java programming language,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Federal regulations,"Although not explicitly mentioned in the course description, students may gain knowledge of federal regulations related to computer science and engineering practices.",Intro to CS,3,Federal regulations,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Federal regulations,"Although not explicitly mentioned in the course description, students may gain knowledge of federal regulations related to computer science and engineering practices.",Intro to CS,3,Federal regulations,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Document preparation practices,"Although not explicitly mentioned in the course description, students may learn about document preparation practices relevant to computer science and engineering.",Intro to CS,3,Document preparation practices,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Document preparation practices,"Although not explicitly mentioned in the course description, students may learn about document preparation practices relevant to computer science and engineering.",Intro to CS,3,Document preparation practices,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Engineering practices,"Although not explicitly mentioned in the course description, students may acquire knowledge of engineering practices related to computer science and engineering.",Intro to CS,3,Engineering practices,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Engineering practices,"Although not explicitly mentioned in the course description, students may acquire knowledge of engineering practices related to computer science and engineering.",Intro to CS,3,Engineering practices,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Data types and structures,"Students will acquire knowledge about various data types and structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",Data Structures,3,Data types and structures,COMS,Data Structures,Brian Borowski,195.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Fall 2023
Data types and structures,"Students will acquire knowledge about various data types and structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",Data Structures,3,Data types and structures,COMS,Data Structures,Paul S Blaer,551.0,"Prerequisites: (COMS W1004) or knowledge of Java. Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.",Spring 2023
