Skill,Explanation,Related Course,Credits
Fundamental concepts of computer science,Students will acquire knowledge of the basic principles and theories that underlie computer science.,Intro to CS,3
Java programming language,"Students will learn about the syntax, features, and functionalities of the Java programming language.",Intro to CS,3
Object-oriented programming,"Students will understand the concepts and principles of object-oriented programming, including encapsulation, inheritance, and polymorphism.",Intro to CS,3
File handling and IO operations,"Students will gain knowledge of how to read from and write to files, as well as handle input/output operations in Java.",Intro to CS,3
Recursion and recursive algorithms,Students will learn about the concept of recursion and how to design and implement recursive algorithms.,Intro to CS,3
Data types and structures,"Students will acquire knowledge about various data types and structures such as arrays, stacks, linked lists, queues, trees, sets, and graphs.",Data Structures,3
Storage management,Students will learn about memory management techniques and strategies for efficient storage of data structures.,Data Structures,3
Algorithm analysis,Students will gain knowledge about analyzing algorithms and understanding their time and space complexity.,Data Structures,3
Java programming language,"Students will acquire knowledge of Java programming language, which is used for implementing data structures.",Data Structures,3
Prerequisites,"Students will learn about the prerequisite knowledge required for the course, such as COMS W1004 or knowledge of Java.",Data Structures,3
Advanced programming concepts,"Students will learn advanced programming concepts such as data structures, algorithms, and object-oriented programming.",Advanced Programming,4
Software development methodologies,"Students will gain knowledge about different software development methodologies, such as agile and waterfall, and how to apply them in practice.",Advanced Programming,4
Debugging and troubleshooting,"Students will learn techniques for debugging and troubleshooting software issues, including using debugging tools and analyzing error messages.",Advanced Programming,4
Memory management,"Students will understand memory management concepts, including dynamic memory allocation and deallocation, and how to avoid memory leaks and other memory-related issues.",Advanced Programming,4
Performance optimization,"Students will learn techniques for optimizing the performance of their code, including profiling, benchmarking, and code refactoring.",Advanced Programming,4
Discrete mathematics,"Students will acquire a comprehensive understanding of the fundamental concepts and principles of discrete mathematics, which is the branch of mathematics that deals with countable sets and mathematical structures that are fundamentally discrete rather than continuous.",Discrete Math,3
Probability theory,"Students will learn about the elements of finite probability, including basic concepts such as sample spaces, events, and probability distributions, which are essential in analyzing and modeling uncertainty in various fields, including computer science and data analysis.",Discrete Math,3
Equivalence relations and partial orderings,"Students will gain knowledge about equivalence relations and partial orderings, which are important mathematical structures used to classify and order objects, and have applications in areas such as database design, sorting algorithms, and formal languages.",Discrete Math,3
Combinatorics,"Students will learn about combinatorial counting techniques, such as binomial coefficients, which are used to count the number of possible outcomes in various scenarios, and have applications in probability, statistics, and cryptography.",Discrete Math,3
Formal logic,"Students will acquire knowledge of formal logic, including propositional logic and predicate logic, which are used to analyze and reason about the validity of logical arguments and the properties of mathematical structures.",Discrete Math,3
Regular languages,"Students will learn about regular languages, their properties, and their relationship to finite automata and regular expressions.",CS Theory,3
Context-free languages,"Students will gain knowledge about context-free languages, their properties, and their relationship to context-free grammars and push-down automata.",CS Theory,3
Chomsky hierarchy,"Students will learn about the Chomsky hierarchy, a classification of formal languages based on their generative power.",CS Theory,3
