Skill,Explanation,Related Course,Credits,Collapsed Skill,Program,Title,Professor,Professor Google Scholar Citations,Description,Semester
Java programming,"Students will develop proficiency in Java programming, including writing and using classes, working with strings, and utilizing arrays and ArrayLists.",Intro to CS,3,Java programming,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Java programming,"Students will develop proficiency in Java programming, including writing and using classes, working with strings, and utilizing arrays and ArrayLists.",Intro to CS,3,Java programming,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Algorithmic problem-solving,Students will learn and apply fundamental concepts of computer science to solve problems using algorithms.,Intro to CS,3,,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Algorithmic problem-solving,Students will learn and apply fundamental concepts of computer science to solve problems using algorithms.,Intro to CS,3,,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
File IO and Exceptions,Students will gain the skill to read and write files and handle exceptions in Java programming.,Intro to CS,3,File IO and Exceptions,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
File IO and Exceptions,Students will gain the skill to read and write files and handle exceptions in Java programming.,Intro to CS,3,File IO and Exceptions,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Recursion,"Students will learn and practice recursive algorithms, which involve solving problems by breaking them down into smaller, similar subproblems.",Intro to CS,3,Recursion,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Recursion,"Students will learn and practice recursive algorithms, which involve solving problems by breaking them down into smaller, similar subproblems.",Intro to CS,3,Recursion,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
Data Structures,"Students will be introduced to data structures such as linked lists, which are essential for organizing and manipulating data efficiently.",Intro to CS,3,Data Structures,COMS,Intro to CS,Paul S Blaer,551.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Fall 2023
Data Structures,"Students will be introduced to data structures such as linked lists, which are essential for organizing and manipulating data efficiently.",Intro to CS,3,Data Structures,COMS,Intro to CS,Adam H Cannon,292.0,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Spring 2023
