Skill,Explanation,Related Course,Credits
Java programming,"Students will develop proficiency in Java programming, including writing and using classes, working with strings, and utilizing arrays and ArrayLists.",Intro to CS,3
Algorithmic problem-solving,Students will learn and apply fundamental concepts of computer science to solve problems using algorithms.,Intro to CS,3
File IO and Exceptions,Students will gain the skill to read and write files and handle exceptions in Java programming.,Intro to CS,3
Recursion,"Students will learn and practice recursive algorithms, which involve solving problems by breaking them down into smaller, similar subproblems.",Intro to CS,3
Data Structures,"Students will be introduced to data structures such as linked lists, which are essential for organizing and manipulating data efficiently.",Intro to CS,3
Java programming,"Students will gain proficiency in Java programming language, which is essential for working with data structures.",Data Structures,3
Sorting and searching,Students will learn techniques for sorting and searching data structures efficiently.,Data Structures,3
Hashing,Students will learn about hashing techniques and how to implement them in data structures.,Data Structures,3
Garbage collection,Students will understand the concept of garbage collection and its importance in managing memory in data structures.,Data Structures,3
Analysis of algorithms,Students will learn the rudiments of analyzing algorithms and their efficiency in data structure operations.,Data Structures,3
C programming,"Students will gain proficiency in the C programming language, which is a fundamental skill for advanced programming.",Advanced Programming,4
Unix systems programming,"Students will learn how to program in a Unix environment, including file manipulation, process management, and system calls.",Advanced Programming,4
Git,"Students will learn how to use Git, a version control system commonly used in software development, to manage and track changes in their code.",Advanced Programming,4
Make,"Students will learn how to use Make, a build automation tool, to compile and manage complex software projects.",Advanced Programming,4
TCP/IP networking basics,Students will acquire knowledge and skills related to networking protocols and communication using the TCP/IP protocol suite.,Advanced Programming,4
Logic and formal proofs,"Students will learn how to construct logical arguments and formal proofs, which are essential skills in mathematics and computer science.",Discrete Math,3
Sequences and summation,"Students will develop the ability to work with sequences and summations, which are fundamental concepts in discrete mathematics and have applications in various areas of computer science.",Discrete Math,3
Mathematical induction,"Students will learn how to use mathematical induction to prove statements about integers and other mathematical objects, which is a powerful technique in mathematics and computer science.",Discrete Math,3
Recurrence relations,"Students will gain proficiency in solving recurrence relations, which are mathematical equations that describe the relationship between terms in a sequence, and are commonly used in analyzing the time complexity of algorithms.",Discrete Math,3
Graph theory,"Students will learn about the basic concepts and techniques in graph theory, such as isomorphism, traversability, planarity, and colorings, which are important in solving problems related to networks, optimization, and data structures.",Discrete Math,3
Finite automata,"Students will learn how to handle and manipulate deterministic and non-deterministic finite automata, which are essential concepts in computer science theory.",CS Theory,3
Regular expressions,"Students will gain proficiency in using regular expressions, a powerful tool for pattern matching and text manipulation.",CS Theory,3
Context-free grammars,"Students will develop the skill of working with context-free grammars, which are used to describe the syntax of programming languages and other formal languages.",CS Theory,3
Turing machines,"Students will learn how to handle and manipulate Turing machines, a theoretical model of computation that forms the basis of modern computer science.",CS Theory,3
Complexity theory,"Students will acquire the skill of understanding and analyzing the complexity of algorithms and problems, which is crucial in designing efficient solutions.",CS Theory,3
Digital logic design,"Students will learn how to design and manipulate digital circuits using Boolean algebra, Karnaugh maps, and basic gates.",Fundamentals of Computer Systems,3
Assembly language programming,Students will gain proficiency in programming in assembly language and understanding instruction sets.,Fundamentals of Computer Systems,3
Processor design,"Students will learn about the design and implementation of processors, including single-cycle and multi-cycle designs.",Fundamentals of Computer Systems,3
Pipelining,Students will understand the concept of pipelined processors and their advantages.,Fundamentals of Computer Systems,3
Cache and virtual memory,Students will learn about the principles and implementation of cache memory and virtual memory systems.,Fundamentals of Computer Systems,3
Matrix operations,"Students will learn how to perform operations on matrices, such as addition, subtraction, multiplication, and inversion.",Linear Algebra,3
Probability calculations,"Students will develop the skill of calculating probabilities using linear algebra concepts, such as conditional probability and probability distributions.",Linear Algebra,3
Statistical analysis,Students will gain proficiency in conducting statistical analysis using various methods and techniques.,Introduction to Statistics,3
Data interpretation,Students will learn how to interpret and analyze data to draw meaningful conclusions.,Introduction to Statistics,3
Statistical software,Students will develop proficiency in using statistical software for data analysis and visualization.,Introduction to Statistics,3
Study design,Students will learn how to design studies and experiments to collect relevant data for statistical analysis.,Introduction to Statistics,3
Quantitative reasoning,Students will enhance their ability to think critically and make logical decisions based on quantitative information.,Introduction to Statistics,3
SQL,"Students will gain proficiency in SQL, which is a fundamental skill in working with databases and querying data.",Introduction to Databases,3
XML,"Students will learn about XML (eXtensible Markup Language) and its use in databases, allowing them to work with XML data and integrate it into database systems.",Introduction to Databases,3
Distributed Systems Design,"Students will learn how to design large-scale distributed systems, including the use of abstractions and implementation techniques.",Distributed Systems Fundamentals,3
Fault-Tolerant Systems,Students will gain proficiency in designing and implementing fault-tolerant distributed systems.,Distributed Systems Fundamentals,3
Distributed Communication,"Students will learn about different communication models used in distributed systems, such as sockets, remote procedure calls, and distributed shared memory.",Distributed Systems Fundamentals,3
Distributed File Systems,Students will develop skills in designing and implementing distributed file systems.,Distributed Systems Fundamentals,3
Scalable Databases,Students will learn about scalable distributed databases and the techniques used to build them.,Distributed Systems Fundamentals,3
MATLAB,Students will gain proficiency in using MATLAB for implementing machine learning algorithms.,Machine Learning,3
Machine learning algorithms,"Students will learn and understand various machine learning algorithms such as support vector machines, neural networks, and Bayesian networks.",Machine Learning,3
Data analysis,Students will develop skills in analyzing and interpreting data to make informed decisions in the context of machine learning.,Machine Learning,3
Programming,Students will enhance their programming skills through implementing machine learning algorithms in MATLAB.,Machine Learning,3
Statistical analysis,Students will learn how to apply statistical methods and techniques to analyze and interpret data in the field of machine learning.,Machine Learning,3
Ruby on Rails,"Students will gain proficiency in Ruby on Rails, a popular web application framework, through hands-on projects and exercises.",Engineering Software-as-a-Service,3
Agile Development,"Students will learn and apply Agile development methodologies, including iterative and incremental development, to effectively manage software projects.",Engineering Software-as-a-Service,3
Behavior-driven Development,"Students will learn and practice behavior-driven development (BDD) techniques, which involve collaboration between developers, testers, and business stakeholders to define and validate software requirements.",Engineering Software-as-a-Service,3
Service-oriented Architecture,Students will understand the principles and concepts of service-oriented architecture (SOA) and learn how to design and develop software systems using this architectural style.,Engineering Software-as-a-Service,3
Dev/ops,"Students will learn about DevOps practices, including continuous integration, continuous delivery, and infrastructure automation, to improve software development and deployment processes.",Engineering Software-as-a-Service,3
User interface design,Students will learn the principles and techniques of designing user interfaces for computer software.,User Interface Design,3
Software design,"Students will develop skills in designing software systems, specifically focusing on graphical user interfaces.",User Interface Design,3
Interaction design,Students will learn how to design effective interactions between users and computer systems.,User Interface Design,3
Dialogue design,Students will gain proficiency in designing dialogues and conversations within user interfaces.,User Interface Design,3
Programming,Students will acquire programming skills necessary for implementing user interfaces.,User Interface Design,3
Threat modeling,Students will learn how to identify and assess potential threats to a system or network.,Security I,3
Operating system security,Students will gain proficiency in implementing and managing security features in operating systems.,Security I,3
Firewall configuration,Students will learn how to set up and configure firewalls to protect networks from unauthorized access.,Security I,3
Virus detection and removal,Students will develop the skills to detect and remove viruses from computer systems.,Security I,3
Mobile and app security,Students will learn about the security challenges and best practices for mobile devices and applications.,Security I,3
Image processing,Students will learn how to manipulate and analyze digital images using various techniques and algorithms.,Computer Vision I,3
Pattern classification,Students will develop the ability to classify patterns and objects based on their visual features.,Computer Vision I,3
Object recognition,Students will gain proficiency in identifying and categorizing objects in images or videos.,Computer Vision I,3
Optical flow analysis,Students will learn how to analyze the motion of objects in a sequence of images.,Computer Vision I,3
3D object representation,Students will learn how to represent and model three-dimensional objects using computer vision techniques.,Computer Vision I,3
Natural Language Processing (NLP),"Students will gain proficiency in NLP techniques for language modeling, tagging, parsing, and word-sense disambiguation.",Natural Language Processing,3
Machine Learning,"Students will learn machine learning techniques used in NLP, such as supervised machine learning, Bayesian models, hidden Markov models, neural networks, RNNs, and transformers.",Natural Language Processing,3
Java programming,Students will develop introductory Java programming skills through the course.,Intro to CS,3
Algorithmic problem-solving,Students will learn and practice problem-solving techniques in the context of computer science.,Intro to CS,3
Database design,"Although not explicitly mentioned in the course description, the course covers fundamental concepts of computer science, which includes database design.",Intro to CS,3
XML,Students will learn about XML (eXtensible Markup Language) and its use in databases.,Intro to CS,3
SQL,"Students will gain proficiency in SQL, which is a fundamental skill in working with databases.",Intro to CS,3
Java programming,"Students will gain proficiency in Java programming language, which is essential for working with data structures.",Data Structures,3
Sorting and searching,Students will learn techniques for sorting and searching data structures efficiently.,Data Structures,3
Hashing,Students will learn about hashing techniques and how to implement them in data structures.,Data Structures,3
Garbage collection,Students will understand the concept of garbage collection and its importance in managing memory in data structures.,Data Structures,3
