Skill,Explanation,Related Course,Credits,Collapsed Skill
Problem-solving,Students will develop the ability to analyze and solve problems using computational techniques.,Introduction to Computer Science Programming in Python,1,Problem-solving
Communication,Students will enhance their ability to communicate their ideas and solutions effectively.,Introduction to Computer Science Programming in Python,1,Communication
Organization,Students will develop the ability to organize their code and manage their programming projects.,Introduction to Computer Science Programming in Python,1,Organization
Analytical thinking,Students will develop the ability to analyze and evaluate different approaches to problem-solving.,Introduction to Computer Science Programming in Python,1,Analytical thinking
Debugging,Students will acquire the ability to identify and fix errors in their programs through debugging techniques.,Introduction to Computer Science Programming in Python,1,Debugging
Problem-solving,"Students will develop the ability to solve complex programming problems in low-level programming, which requires analytical thinking and attention to detail.",Introduction to Low-level Programming in C and Assembly,1,Problem-solving
Analytical thinking,Students will enhance their ability to analyze and understand complex programming concepts and algorithms.,Introduction to Low-level Programming in C and Assembly,1,Analytical thinking
Attention to detail,"Students will develop the ability to pay close attention to details in low-level programming, as even small mistakes can have significant consequences.",Introduction to Low-level Programming in C and Assembly,1,Attention to detail
Debugging,"Students will acquire the ability to effectively debug low-level programs, identifying and fixing errors in code.",Introduction to Low-level Programming in C and Assembly,1,Debugging
Technical communication,"Students will enhance their ability to communicate technical concepts related to low-level programming, both verbally and in writing.",Introduction to Low-level Programming in C and Assembly,1,Written communication
Mathematical analysis,Students will develop the ability to analyze mathematical problems and apply appropriate mathematical techniques to solve them.,Mathematics for Computer Science,1,Data analysis
Logical reasoning,Students will enhance their ability to reason logically and apply logical notation and proof techniques to solve mathematical problems.,Mathematics for Computer Science,1,Logical reasoning
Communication,Students will improve their ability to communicate mathematical ideas and solutions verbally and in writing.,Mathematics for Computer Science,1,Communication
Collaboration,Students will develop the ability to collaborate with other students on problem sets and engage in constructive teamwork.,Mathematics for Computer Science,1,Collaboration
Time management,Students will acquire the ability to manage their time effectively to complete problem sets and prepare for exams within given deadlines.,Mathematics for Computer Science,1,Time management
Data analysis,Students will develop the ability to analyze and interpret data using statistical techniques.,Introduction to Probability and Statistics,1,Data analysis
Statistical simulation,"Students will gain the ability to use simulation methods, particularly in R, to perform probabilistic scenarios and estimate statistical quantities.",Introduction to Probability and Statistics,1,Statistical interpretation
Statistical visualization,Students will develop the ability to visualize statistical data and results using graphs and plots.,Introduction to Probability and Statistics,1,Statistical interpretation
Statistical reasoning,Students will enhance their ability to reason and make logical conclusions based on statistical evidence.,Introduction to Probability and Statistics,1,Statistical interpretation
Statistical interpretation,Students will acquire the ability to interpret and communicate statistical findings to a non-technical audience.,Introduction to Probability and Statistics,1,Statistical interpretation
