Skill,Explanation,Related Course,Credits
Problem-solving,Students will develop the ability to analyze and solve problems using computational techniques.,Introduction to Computer Science Programming in Python,1
Communication,Students will enhance their ability to communicate their ideas and solutions effectively.,Introduction to Computer Science Programming in Python,1
Organization,Students will develop the ability to organize their code and manage their programming projects.,Introduction to Computer Science Programming in Python,1
Analytical thinking,Students will develop the ability to analyze and evaluate different approaches to problem-solving.,Introduction to Computer Science Programming in Python,1
Debugging,Students will acquire the ability to identify and fix errors in their programs through debugging techniques.,Introduction to Computer Science Programming in Python,1
Problem-solving,"Students will develop the ability to solve complex programming problems in low-level languages, which often require a deep understanding of memory management and data manipulation.",Introduction to Low-level Programming in C and Assembly,1
Analytical thinking,Students will enhance their ability to analyze and understand complex code and its behavior at the low-level.,Introduction to Low-level Programming in C and Assembly,1
Attention to detail,"Low-level programming requires meticulous attention to detail, and students will develop this ability through the course.",Introduction to Low-level Programming in C and Assembly,1
Debugging,"Students will gain the ability to effectively debug low-level programs, which involves identifying and fixing issues at the machine level.",Introduction to Low-level Programming in C and Assembly,1
Technical communication,"Students will improve their ability to communicate technical concepts related to low-level programming, both verbally and in writing, to effectively collaborate and explain their work.",Introduction to Low-level Programming in C and Assembly,1
Logical reasoning,Students will develop the ability to apply logical reasoning in solving problems and proving theorems.,Mathematics for Computer Science,1
Communication,Students will enhance their ability to communicate mathematical ideas and solutions effectively.,Mathematics for Computer Science,1
Analytical thinking,Students will develop the ability to analyze and evaluate algorithms and their efficiency.,Mathematics for Computer Science,1
Problem-solving,Students will enhance their ability to approach and solve complex problems in computer science.,Mathematics for Computer Science,1
Mathematical modeling,Students will gain the ability to model real-world problems using mathematical concepts and techniques.,Mathematics for Computer Science,1
Data analysis,Students will develop the ability to analyze and interpret data using statistical techniques.,Introduction to Probability and Statistics,1
Statistical simulation,"Students will gain the ability to use simulation methods, particularly in R, to perform probabilistic scenarios and estimate statistical quantities.",Introduction to Probability and Statistics,1
Statistical visualization,Students will develop the ability to visualize statistical data and results using graphs and plots.,Introduction to Probability and Statistics,1
Statistical reasoning,Students will enhance their ability to reason and make logical conclusions based on statistical evidence.,Introduction to Probability and Statistics,1
Statistical interpretation,Students will acquire the ability to interpret and communicate statistical findings to a non-technical audience.,Introduction to Probability and Statistics,1
Problem-solving,Students will develop the ability to identify flaws and limitations in simple systems and design solutions to overcome them.,Computation Structures,1
Communication,Students will enhance their communication skills through written lab reports and explanations of their designs.,Computation Structures,1
Organization,Students will develop the ability to organize their work and manage their time effectively to complete lab assignments and design projects.,Computation Structures,1
Analyzing issues,"Students will develop the ability to analyze issues affecting digital systems, such as pipeline hazards and control hazards.",Computation Structures,1
Debugging,"Students will gain the ability to debug and test digital systems, including controllers for finite-state machines and CPUs.",Computation Structures,1
Problem-solving,Students will develop the ability to analyze and solve problems using programming techniques and algorithms.,Fundamentals of Programming,1
Communication,"Students will enhance their ability to communicate effectively, both verbally and in writing, about programming concepts and solutions.",Fundamentals of Programming,1
Organization,Students will develop the ability to organize and structure their code and software projects effectively.,Fundamentals of Programming,1
Analytical thinking,Students will develop the ability to analyze and evaluate programming problems and solutions critically.,Fundamentals of Programming,1
Debugging,Students will gain the ability to identify and fix errors and bugs in their code through debugging techniques.,Fundamentals of Programming,1
Problem-solving,Students will develop the ability to analyze and solve complex computational problems.,Introduction to Algorithms,1
Communication,"Students will enhance their communication skills through assignments, quizzes, and exams.",Introduction to Algorithms,1
Analytical thinking,Students will develop the ability to think analytically and critically evaluate algorithms and their performance.,Introduction to Algorithms,1
Time management,Students will learn to manage their time effectively to complete assignments and prepare for quizzes and exams.,Introduction to Algorithms,1
Collaboration,"Students may have opportunities to collaborate with peers on problem-solving and programming projects, developing their ability to work in teams.",Introduction to Algorithms,1
Problem-solving,Students will develop the ability to solve problems as they work on programming projects.,Software Construction,1
Communication,Students will enhance their communication skills through discussions and feedback in class.,Software Construction,1
Collaboration,Students will develop the ability to work effectively in teams during the group software development project.,Software Construction,1
Code reviewing,Students will gain the ability to review and provide feedback on their classmates' code.,Software Construction,1
Time management,Students will develop the ability to manage their time effectively to meet project deadlines and complete problem sets.,Software Construction,1
Analyzing algorithms,Students will have the ability to analyze worst-case running times of algorithms using asymptotic analysis.,Design and Analysis of Algorithms,1
Applying algorithmic design paradigms,Students will be able to apply important algorithmic design paradigms and methods of analysis to solve engineering design problems.,Design and Analysis of Algorithms,1
Explaining algorithms,Students will be able to explain the correctness of algorithms using inductive proofs and invariants.,Design and Analysis of Algorithms,1
Graph modeling,Students will have the ability to employ graphs to model engineering problems and analyze graph algorithms.,Design and Analysis of Algorithms,1
Amortized analysis,Students will understand what amortized running time is and perform amortized analysis.,Design and Analysis of Algorithms,1
Arguing for design choices,Students will develop the ability to argue for their design choices in distributed systems.,Computer Systems Engineering,1
Oral communication,"Students will enhance their ability to communicate verbally through participation in discussions, pair/group work, and presentations.",Computer Systems Engineering,1
Written communication,"Students will enhance their ability to communicate in writing through written design reports, critiques, and other written assignments.",Computer Systems Engineering,1
System analysis,Students will develop the ability to analyze and critique technical systems.,Computer Systems Engineering,1
Teamwork,"Students will learn to work productively and effectively in teams, as real-world systems are typically built collaboratively.",Computer Systems Engineering,1
Analytical thinking,Students will develop the ability to analyze complex problems and algorithms.,Theory of Computation,1
Logical reasoning,Students will enhance their logical reasoning skills through the study of computability and complexity theory.,Theory of Computation,1
Time management,"The course structure and workload will require students to effectively manage their time to complete assignments, quizzes, and exams.",Theory of Computation,1
Independent learning,Students will develop the ability to learn and understand complex theoretical concepts independently.,Theory of Computation,1
Critical thinking,The course content and problem-solving exercises will foster critical thinking skills in students as they analyze and evaluate different computational problems and solutions.,Theory of Computation,1
Problem-solving,"Students will develop the ability to analyze and solve problems related to database systems, which is a crucial ability in the field.",Database Systems,1
Communication,"Students will enhance their ability to communicate verbally and in writing, which is essential for presenting their project findings and collaborating with others.",Database Systems,1
Organization,"Students will develop the ability to organize their work and manage project timelines, which is important for successfully completing the semester-long project.",Database Systems,1
Analytical thinking,Students will develop the ability to analyze complex issues and make informed decisions related to database systems.,Database Systems,1
Research,"Students will acquire the ability to conduct research in the field of database systems, which includes reading and analyzing research papers and applying their findings to their projects.",Database Systems,1
Problem-solving,"Students will develop the ability to solve problems as they work on the final project, design and implement new algorithms, and apply computational methods.",Computational Systems Biology: Deep Learning in the Life Sciences,1
Communication,"Students will enhance their communication abilities, both verbally and in writing, as they present their research results and write reports.",Computational Systems Biology: Deep Learning in the Life Sciences,1
Organization,"Students will develop the ability to organize their work, plan their projects, and meet milestones.",Computational Systems Biology: Deep Learning in the Life Sciences,1
Critical thinking,"Students will enhance their critical thinking abilities as they evaluate peer proposals, analyze research findings, and interpret results.",Computational Systems Biology: Deep Learning in the Life Sciences,1
Leadership,"Students will develop leadership skills as they work in teams, divide work, and plan and carry out independent research.",Computational Systems Biology: Deep Learning in the Life Sciences,1
Ability to apply machine learning methods,Students will develop the ability to apply machine learning methods to solve real-world problems.,Machine Learning,1
Ability to analyze and interpret data,Students will develop the ability to analyze and interpret data using machine learning techniques.,Machine Learning,1
Ability to evaluate and compare classifiers,Students will gain the ability to evaluate and compare different classifiers based on their performance.,Machine Learning,1
Ability to communicate technical concepts,Students will enhance their ability to communicate technical concepts related to machine learning both verbally and in writing.,Machine Learning,1
Ability to work collaboratively,"Students will develop the ability to work collaboratively on machine learning projects, including literature reviews, theoretical analyses, and applications of machine learning methods.",Machine Learning,1
Problem-solving,Students will develop the ability to analyze and solve problems related to architectural design and construction.,Architectural Construction And Computation,1
Communication,Students will enhance their ability to effectively communicate their design ideas and construction plans.,Architectural Construction And Computation,1
Teamwork,Students will learn how to collaborate effectively with others in a team setting.,Architectural Construction And Computation,1
Time management,Students will develop the ability to manage their time effectively to meet project deadlines.,Architectural Construction And Computation,1
Presentation skills,Students will learn how to present their design and construction projects in a clear and professional manner.,Architectural Construction And Computation,1
