Skill,Explanation,Related Course,Credits,Collapsed Skill
Computation,Students will gain knowledge about the role computation plays in solving problems.,Introduction to Computer Science Programming in Python,1,Machine learning concepts
Python language,Students will learn about the Python programming language and its features.,Introduction to Computer Science Programming in Python,1,Python
Simple algorithms,Students will acquire knowledge about basic algorithms and their implementation.,Introduction to Computer Science Programming in Python,1,Algorithms
Algorithmic complexity,Students will learn about the concept of algorithmic complexity and how to analyze it.,Introduction to Computer Science Programming in Python,1,Algorithmic complexity
Data structures,Students will gain knowledge about different data structures and their applications in programming.,Introduction to Computer Science Programming in Python,1,Algorithms
Memory organization,"Students will learn about the organization of memory in modern computational systems, including the stack, heap, and data segments.",Introduction to Low-level Programming in C and Assembly,1,Memory organization
Pointers,"Students will gain knowledge about pointers, a fundamental concept in low-level programming that allows for efficient memory manipulation.",Introduction to Low-level Programming in C and Assembly,1,Pointers
Translation of high-level languages,"Students will understand how high-level languages like C are translated to machine-level instructions, which is crucial for low-level programming.",Introduction to Low-level Programming in C and Assembly,1,Translation of high-level languages
Constraints in low-level programming,"Students will acquire knowledge about the constraints and limitations involved in manipulating complex data structures at the low-level, such as memory limitations and performance considerations.",Introduction to Low-level Programming in C and Assembly,1,Constraints in low-level programming
Low-level programming concepts,"Students will learn various low-level programming concepts, such as register usage, instruction sets, and memory addressing modes.",Introduction to Low-level Programming in C and Assembly,1,Low-level programming concepts
Discrete mathematics,Students will acquire knowledge of elementary discrete mathematics concepts and their applications in computer science.,Mathematics for Computer Science,1,Discrete mathematics
Sets and relations,Students will learn about sets and relations and their role in computer science.,Mathematics for Computer Science,1,Sets and relations
State machines,Students will gain knowledge of state machines and their use in modeling systems.,Mathematics for Computer Science,1,State machines
Elementary number theory,Students will learn about elementary number theory concepts and their applications in cryptography.,Mathematics for Computer Science,1,Elementary number theory
Permutations and combinations,Students will acquire knowledge of permutations and combinations and their use in counting problems.,Mathematics for Computer Science,1,Permutations and combinations
Probability theory,Students will acquire knowledge of the language and core concepts of probability theory.,Introduction to Probability and Statistics,1,Probability theory
Statistical distributions,"Students will learn about various probability distributions, including Bernoulli, binomial, geometric, Poisson, uniform, normal, and exponential distributions.",Introduction to Probability and Statistics,1,Statistical inference
Statistical estimation,"Students will gain knowledge of statistical estimation techniques, including maximum likelihood estimation and confidence interval estimation.",Introduction to Probability and Statistics,1,Statistical inference
Linear regression,Students will learn about simple linear regression and how to interpret and compute regression models.,Introduction to Probability and Statistics,1,Linear regression analysis
Statistical testing,"Students will acquire knowledge of null hypothesis significance testing (NHST) and how to perform specific significance tests, such as z-tests, t-tests, and chi-squared tests.",Introduction to Probability and Statistics,1,Statistical inference
Abstraction in design,Students will understand the role of abstraction in the design of large digital systems and be able to explain major software and hardware abstractions.,Computation Structures,1,Abstraction in design
Digital system engineering,Students will gain knowledge of the technical skills necessary to be a capable digital systems engineer.,Computation Structures,1,Digital system components
Digital system components,"Students will learn about the different components of digital systems, including MOS transistors, logic gates, and memory hierarchies.",Computation Structures,1,Digital system components
Instruction set design,Students will understand the issues affecting microprocessor instruction set design.,Computation Structures,1,Instruction set design
Memory access performance,Students will learn how to measure the memory access performance of a processor and tune cache design parameters to improve performance.,Computation Structures,1,Memory access performance
