Skill,Explanation,Related Course,Credits
Computation,Students will gain knowledge about the role computation plays in solving problems.,Introduction to Computer Science Programming in Python,1
Python language,Students will learn about the Python programming language and its features.,Introduction to Computer Science Programming in Python,1
Simple algorithms,Students will acquire knowledge about basic algorithms and their implementation.,Introduction to Computer Science Programming in Python,1
Algorithmic complexity,Students will learn about the concept of algorithmic complexity and how to analyze it.,Introduction to Computer Science Programming in Python,1
Data structures,Students will gain knowledge about different data structures and their applications in programming.,Introduction to Computer Science Programming in Python,1
Memory organization,"Students will learn about the organization of memory in modern computational systems, including the stack, heap, and data segments.",Introduction to Low-level Programming in C and Assembly,1
Pointers,"Students will gain knowledge about pointers, which are essential for low-level programming and memory manipulation.",Introduction to Low-level Programming in C and Assembly,1
Data representation,"Students will learn about how different data types are represented in memory, including integers, floating-point numbers, and characters.",Introduction to Low-level Programming in C and Assembly,1
Translation of high-level languages,"Students will gain knowledge about how high-level languages like C are translated to machine-level instructions, which is important for understanding low-level programming.",Introduction to Low-level Programming in C and Assembly,1
Low-level programming concepts,"Students will acquire knowledge about low-level programming concepts such as registers, instruction sets, and memory addressing modes.",Introduction to Low-level Programming in C and Assembly,1
Discrete mathematics,"Students will acquire knowledge of various topics in discrete mathematics, including logical notation, sets, relations, graph theory, and number theory.",Mathematics for Computer Science,1
Mathematical proof techniques,"Students will learn different proof techniques, such as induction and proofs by contradiction, to prove mathematical statements.",Mathematics for Computer Science,1
Algorithm analysis,"Students will gain knowledge of elementary analysis of algorithms, including asymptotic notation, to analyze the efficiency and performance of algorithms.",Mathematics for Computer Science,1
Number theory and cryptography,Students will acquire knowledge of elementary number theory and its applications in cryptography.,Mathematics for Computer Science,1
Permutations and combinations,Students will learn about permutations and combinations and their applications in counting and combinatorial problems.,Mathematics for Computer Science,1
Probability theory,Students will acquire knowledge of the language and core concepts of probability theory.,Introduction to Probability and Statistics,1
Statistical distributions,"Students will learn about various probability distributions, including Bernoulli, binomial, geometric, Poisson, uniform, normal, and exponential distributions.",Introduction to Probability and Statistics,1
Statistical estimation,"Students will gain knowledge of statistical estimation techniques, including maximum likelihood estimation and confidence interval estimation.",Introduction to Probability and Statistics,1
Linear regression,Students will learn about simple linear regression and how to interpret and compute regression models.,Introduction to Probability and Statistics,1
Statistical testing,"Students will acquire knowledge of null hypothesis significance testing (NHST) and how to perform specific significance tests, such as z-tests, t-tests, and chi-squared tests.",Introduction to Probability and Statistics,1
Abstraction in design,Students will understand the role of abstraction in the design of large digital systems and be able to explain major software and hardware abstractions in contemporary computer systems.,Computation Structures,1
Digital system engineering,Students will gain knowledge of the technical skills necessary to be a capable digital systems engineer.,Computation Structures,1
Database design,"Although not explicitly mentioned in the course description, students may gain knowledge of database design principles as they learn about designing digital systems.",Computation Structures,1
Instruction set design,Students will understand issues affecting microprocessor instruction set design.,Computation Structures,1
Memory access performance,Students will learn how to measure the memory access performance of a processor and tune cache design parameters to improve performance.,Computation Structures,1
Programming basics,"Students will acquire a foundational knowledge of programming, including programming concepts and principles.",Fundamentals of Programming,1
Computational concepts,"Students will learn about fundamental computational concepts, such as algorithms, data structures, and problem-solving strategies.",Fundamentals of Programming,1
Software engineering,"Students will gain knowledge of software engineering principles and practices, including software design, construction, and implementation.",Fundamentals of Programming,1
Python basics,"Students will learn the basics of the Python programming language, including syntax, data types, and control structures.",Fundamentals of Programming,1
Abstract problem-solving,Students will develop knowledge and skills in solving abstract problems using programming techniques and concepts.,Fundamentals of Programming,1
Discrete mathematics,"Students should have basic knowledge of discrete mathematics, including set theory, relations and logic, combinatorics, proofs, recursion, number theory, graph theory, and probability.",Introduction to Algorithms,1
Database design,"Although not explicitly mentioned in the course description, knowledge of database design principles may be useful for understanding and implementing certain algorithms.",Introduction to Algorithms,1
Algorithmic paradigms,"Students will learn about different algorithmic paradigms, such as dynamic programming, greedy algorithms, and divide and conquer.",Introduction to Algorithms,1
Performance analysis,Students will learn how to analyze the performance of algorithms and understand basic performance measures.,Introduction to Algorithms,1
Computational problem modeling,Students will learn how to model computational problems mathematically and translate them into algorithms.,Introduction to Algorithms,1
Specifications and invariants,Students will learn about specifications and invariants in software development.,Software Construction,1
Abstract data types,Students will learn about abstract data types and representation independence in software development.,Software Construction,1
Database design,Students will learn how to design a database.,Software Construction,1
Version control,Students will learn about version control and how to use it in software development.,Software Construction,1
Code review,Students will learn about code review and how to participate in the code reviewing process.,Software Construction,1
Major algorithms and data structures,Students will gain familiarity with major algorithms and data structures.,Design and Analysis of Algorithms,1
Correctness proofs,Students will learn how to write rigorous correctness proofs for algorithms.,Design and Analysis of Algorithms,1
Competitive analysis,Students will understand what competitive analysis is and when it applies to algorithm design.,Design and Analysis of Algorithms,1
Approximation algorithms,Students will be familiar with approximation algorithms and their benefits.,Design and Analysis of Algorithms,1
Randomized algorithms,Students will learn about randomized algorithms and how to analyze them.,Design and Analysis of Algorithms,1
Design choices in existing systems,Students will learn to recognize and critique design choices made in existing systems.,Computer Systems Engineering,1
Technical material,"Students will acquire knowledge of technical details necessary to design their own systems, including concepts such as abstraction, modularity, and virtualization.",Computer Systems Engineering,1
Communication concepts and skills,Students will learn communication concepts and skills necessary for effective system design and analysis.,Computer Systems Engineering,1
Computer system design principles,"Students will gain knowledge of principles of computer system design, including techniques for controlling complexity, performance, security, and fault tolerance.",Computer Systems Engineering,1
Impact of computer systems on society,"Students will learn about the impact of computer systems on society, including ethical considerations and societal implications.",Computer Systems Engineering,1
Computability theory,"Students will learn about the theoretical foundations of computation, including the Church-Turing thesis, decidability, the halting problem, and reducibility.",Theory of Computation,1
