Skill,Explanation,Related Course,Credits,Collapsed Skill
Python programming,"Students will gain proficiency in programming using the Python language, which is widely used in the field of computer science.",Introduction to Computer Science Programming in Python,1,Python programming
Algorithmic problem-solving,"Students will develop the skill of solving problems using algorithms, which involves breaking down complex tasks into smaller, manageable steps.",Introduction to Computer Science Programming in Python,1,Algorithmic techniques
Testing and debugging,"Students will learn how to test and debug their programs, ensuring that they are functioning correctly and free of errors.",Introduction to Computer Science Programming in Python,1,Debugging
Data structures,"Students will learn about different data structures such as lists, arrays, and dictionaries, and how to manipulate and organize data efficiently.",Introduction to Computer Science Programming in Python,1,Data structure manipulation
Computational thinking,Students will develop the skill of thinking logically and systematically to solve problems using computational techniques.,Introduction to Computer Science Programming in Python,1,Computational thinking
C programming,"Students will gain proficiency in the C programming language, which is the main focus of the course.",Introduction to Low-level Programming in C and Assembly,1,C programming
Assembly language,"Students will learn how to program in assembly language, which will provide them with a deeper understanding of low-level programming.",Introduction to Low-level Programming in C and Assembly,1,Assembly language
Memory management,"Students will develop skills in managing memory, including understanding how different data structures are stored in memory and the constraints involved in manipulating complex data structures.",Introduction to Low-level Programming in C and Assembly,1,Memory management
Pointers,"Students will learn how to work with pointers, a fundamental concept in low-level programming.",Introduction to Low-level Programming in C and Assembly,1,Pointers
Data structure manipulation,"Students will acquire skills in manipulating data structures at a low level, including the stack and the heap.",Introduction to Low-level Programming in C and Assembly,1,Data structure manipulation
Logical notation,Students will learn how to use logical notation to represent and manipulate propositions and logical connectives.,Mathematics for Computer Science,1,Logical notation
Elementary graph theory,"Students will gain proficiency in understanding and analyzing graphs, including concepts such as vertices, edges, paths, and cycles.",Mathematics for Computer Science,1,Elementary analysis of algorithms
Induction and proofs by contradiction,Students will learn and practice the techniques of mathematical induction and proofs by contradiction to establish the validity of mathematical statements.,Mathematics for Computer Science,1,Induction and proofs by contradiction
Asymptotic notation,Students will develop the skill of using asymptotic notation (such as Big O notation) to analyze the efficiency and complexity of algorithms.,Mathematics for Computer Science,1,Asymptotic notation
Elementary analysis of algorithms,"Students will learn how to analyze the performance and behavior of algorithms, including time and space complexity.",Mathematics for Computer Science,1,Elementary analysis of algorithms
Data analysis,Students will develop the skill of analyzing data through the use of statistical techniques.,Introduction to Probability and Statistics,1,Data analysis
Statistical programming,"Students will gain proficiency in using statistical software, specifically R, to perform statistical analysis.",Introduction to Probability and Statistics,1,Statistical modeling
