Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Problem-solving,"Students will develop the ability to analyze problems, identify potential solutions, and implement effective solutions using programming.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Problem-solving strategies
Logical reasoning,"Students will enhance their ability to think logically and critically, which is essential for designing and implementing algorithms.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Mathematical Reasoning
Collaboration,Students will have opportunities to work in teams and develop their ability to collaborate effectively with others in solving programming problems.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Research collaboration
Adaptability,Students will learn how to adapt their programming skills and knowledge to different problem domains and scenarios.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Adaptability
Documentation,Students will develop the ability to document their code and communicate their programming solutions clearly and concisely.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Documentation
Analytical thinking,Students will enhance their ability to analyze and evaluate complex problems and develop logical solutions.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Analytical skills
Communication,Students will improve their ability to effectively communicate their ideas and findings through written and oral presentations.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Communication
Collaboration,Students will develop the ability to work effectively in teams and collaborate with others to solve computational problems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Research collaboration
Critical thinking,Students will enhance their ability to think critically and evaluate information and results obtained from computational analyses.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Critical thinking
Adaptability,Students will develop the ability to adapt and apply computational techniques and tools to different domains and problem contexts.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Adaptability
Problem-solving,Students will develop the ability to analyze problems and devise effective solutions using computational techniques.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Problem-solving strategies
Logical reasoning,Students will enhance their ability to think logically and critically when designing algorithms and solving problems.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Mathematical Reasoning
Algorithmic thinking,"Students will develop the ability to break down complex problems into smaller, manageable steps and design algorithms to solve them.","6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Algorithmic thinking
Collaboration,"Students will have opportunities to collaborate with peers on programming projects, enhancing their ability to work in teams.","6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Research collaboration
Time management,Students will learn to manage their time effectively to meet project deadlines and complete programming tasks efficiently.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Time management
Problem-solving,Students will develop the ability to analyze and solve problems using programming techniques.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Problem-solving strategies
Communication,Students will enhance their ability to communicate programming concepts and solutions effectively.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Communication
Logical reasoning,Students will develop the ability to think logically and critically when designing and implementing software solutions.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Mathematical Reasoning
Debugging,Students will acquire the ability to identify and fix errors in programming code.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Debugging
Collaboration,Students will develop the ability to work collaboratively in a programming team and contribute effectively to project development.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Research collaboration
Problem-solving,Students will develop the ability to analyze and solve complex problems as they work on programming exercises and projects.,"6.1020 Software Construction
",1,Fall 2023,Problem-solving strategies
Communication,"Students will enhance their ability to communicate effectively, both verbally and in writing, as they collaborate on group programming projects.","6.1020 Software Construction
",1,Fall 2023,Communication
Organization,Students will develop the ability to organize their code and project files in a structured and efficient manner.,"6.1020 Software Construction
",1,Fall 2023,Organization
Analytical thinking,Students will enhance their ability to analyze issues and think critically when designing and implementing software solutions.,"6.1020 Software Construction
",1,Fall 2023,Analytical skills
Adaptability,Students will develop the ability to adapt to changing requirements and technologies in the field of software development.,"6.1020 Software Construction
",1,Fall 2023,Adaptability
Design thinking,"Students will develop the ability to think critically and creatively in the design process, applying design thinking principles to solve complex software design challenges.","6.1040 Software Design
",1,Fall 2023,Design thinking
Analytical thinking,"Students will enhance their analytical abilities, enabling them to analyze issues and make informed decisions in software design and development.","6.1040 Software Design
",1,Fall 2023,Analytical skills
Verbal communication,"Students will improve their ability to communicate verbally, effectively expressing their ideas and collaborating with team members.","6.1040 Software Design
",1,Fall 2023,Written communication
Written communication,"Students will develop the ability to communicate effectively in writing, producing clear and concise documentation for software design and development projects.","6.1040 Software Design
",1,Fall 2023,Written communication
Organizational skills,"Students will enhance their organizational abilities, managing their time and resources effectively to meet project deadlines and deliver high-quality software applications.","6.1040 Software Design
",1,Fall 2023,Organizational skills
Problem-solving,Students will develop the ability to solve performance-related problems in software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023,Problem-solving strategies
Analytical thinking,Students will enhance their ability to analyze and evaluate the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023,Analytical skills
Communication,Students will improve their ability to effectively communicate performance-related issues and solutions.,"6.1060 Software Performance Engineering
",1,Fall 2023,Communication
Teamwork,Students will develop the ability to work collaboratively in project-based software performance engineering tasks.,"6.1060 Software Performance Engineering
",1,Fall 2023,Teamwork
