Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill
Computation,"Students will learn about the fundamental concepts and principles of computation, including the notion of computation itself.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Functional programming
Python language,"Students will acquire knowledge of the syntax, features, and capabilities of the Python programming language.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Texture mapping
Algorithms,"Students will learn about different algorithms and their characteristics, such as efficiency and complexity.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Functional programming
Software testing,Students will gain knowledge of testing methodologies and techniques to ensure the quality and reliability of their programs.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Logical reasoning
Debugging techniques,Students will learn various strategies and techniques for identifying and fixing errors in their code.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Logical reasoning
Probability and statistics,Students will acquire knowledge of basic probability and statistical concepts and their applications in data science.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Programming
Monte Carlo simulations,Students will learn about Monte Carlo simulation methods and their use in modeling and analyzing complex systems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Discrete probability
Data modeling,Students will gain knowledge of different data modeling techniques and their applications in representing and organizing data.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Human-computer interaction (HCI) design
Clustering,Students will learn about clustering algorithms and techniques used for grouping similar data points together.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Communication
Computational thinking,Students will develop an understanding of computational thinking principles and how they can be applied to solve problems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Functional programming
Notion of computation,Students will acquire knowledge about the fundamental concepts and principles of computation.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Functional programming
Python programming language,"Students will learn about the syntax, features, and functionalities of the Python programming language.","6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Texture mapping
Simple algorithms,Students will gain knowledge of basic algorithms and their applications in solving simple problems.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Graph theory
Algorithmic complexity,Students will understand the concept of algorithmic complexity and its impact on program efficiency.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Functional programming
Testing and debugging techniques,Students will learn about different techniques and strategies for testing and debugging programs.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023,Testing and iteration
Programming basics,Students will acquire knowledge of the basic principles and concepts of programming.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Texture mapping
Computational concepts,"Students will learn about fundamental computational concepts such as loops, conditionals, and variables.","6.1010 Fundamentals of Programming
",1,Fall 2023,Functional programming
Software design,Students will gain knowledge of software design principles and practices.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Discrete probability
Data structures,Students will learn about different data structures used in programming and their applications.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Network management
Problem-solving strategies,Students will acquire knowledge of problem-solving strategies and techniques used in programming.,"6.1010 Fundamentals of Programming
",1,Fall 2023,Message authentication codes
Specifications and invariants,"Students will learn how to define specifications and invariants for software systems, ensuring that the code meets the desired requirements.","6.1020 Software Construction
",1,Fall 2023,Discrete probability
Abstract data types,"Students will gain knowledge of abstract data types and representation independence, allowing them to design efficient and flexible data structures.","6.1020 Software Construction
",1,Fall 2023,Graph theory
Design patterns,"Students will learn various design patterns used in object-oriented programming, enabling them to solve common software design problems effectively.","6.1020 Software Construction
",1,Fall 2023,Nonlinear dynamics
Concurrent programming techniques,"Students will acquire knowledge of different techniques for concurrent programming, such as message passing and shared memory concurrency.","6.1020 Software Construction
",1,Fall 2023,Interprocess communication
Functional programming concepts,"Students will learn the principles and concepts of functional programming, including working with immutable data and higher-order functions.","6.1020 Software Construction
",1,Fall 2023,Functional programming concepts
Abstract data modeling,Students will learn about abstract data modeling and its application in software design.,"6.1040 Software Design
",1,Fall 2023,Human-computer interaction (HCI) design
Social and ethical implications,Students will gain knowledge of the social and ethical considerations involved in software design and development.,"6.1040 Software Design
",1,Fall 2023,Discrete probability
Web services,Students will acquire knowledge of web services and their role in building web applications.,"6.1040 Software Design
",1,Fall 2023,Designing highly concurrent applications
Reactive front-ends,"Students will learn about reactive front-end development, understanding how to create responsive user interfaces.","6.1040 Software Design
",1,Fall 2023,Multicore programming
Visual design,"Students will gain knowledge of visual design principles and techniques, enabling them to create visually appealing software interfaces.","6.1040 Software Design
",1,Fall 2023,Programming
Performance engineering principles,Students will acquire knowledge of the principles and concepts of software performance engineering.,"6.1060 Software Performance Engineering
",1,Fall 2023,Discrete probability
Software optimization techniques,Students will learn about different techniques used to optimize software performance.,"6.1060 Software Performance Engineering
",1,Fall 2023,Logical reasoning
Cache and memory hierarchy optimization,Students will gain knowledge of optimizing software by optimizing cache and memory usage.,"6.1060 Software Performance Engineering
",1,Fall 2023,Cache Design
Scalability,Students will learn about designing software systems that can scale effectively.,"6.1060 Software Performance Engineering
",1,Fall 2023,Logical reasoning
High-performance computing,Students will acquire knowledge of the field of high-performance computing and its applications.,"6.1060 Software Performance Engineering
",1,Fall 2023,Discrete probability
Models of computation,Students will learn about different models of computation and their implications in algorithm design.,"6.5060 Algorithm Engineering
",1,Fall 2023,Functional programming
Data structures,Students will acquire knowledge about various data structures and their applications in algorithm engineering.,"6.5060 Algorithm Engineering
",1,Fall 2023,Graph theory
Graph problems,Students will learn about different graph problems and algorithms used to solve them.,"6.5060 Algorithm Engineering
",1,Fall 2023,Algorithm design
Cache-efficient algorithms,Students will gain knowledge about designing algorithms that effectively utilize cache memory.,"6.5060 Algorithm Engineering
",1,Fall 2023,Cache Design
Computational complexity,Students will understand the concept of computational complexity and its importance in algorithm analysis.,"6.5060 Algorithm Engineering
",1,Fall 2023,Functional programming
Principles of multicore programming,"Students will learn the fundamental principles and concepts of programming multicore machines, including understanding the challenges and considerations specific to multicore architectures.","6.5080 Multicore Programming
",1,Fall 2023,e
Concurrent data structures,Students will acquire knowledge about concurrent data structures and how to design and implement them in multicore programming.,"6.5080 Multicore Programming
",1,Fall 2023,Cache Design
Multicore machine architecture,Students will acquire knowledge about the architecture of multicore machines and how they function.,"6.5081 Multicore Programming
",1,Fall 2023,Compilation
Locking and synchronization,Students will learn about locking and synchronization mechanisms used in multicore programming.,"6.5081 Multicore Programming
",1,Fall 2023,Interprocess communication
Scalability,Students will gain knowledge about scalability issues and techniques in multicore programming.,"6.5081 Multicore Programming
",1,Fall 2023,Testing and debugging
Concurrent data structures,Students will learn about concurrent data structures and their implementation in multicore programming.,"6.5081 Multicore Programming
",1,Fall 2023,Cache Design
Higher-level programming languages,"Students will acquire knowledge about the concepts, functions, and structures of higher-level programming languages.","6.1100 Computer Language Engineering
",1,Fall 2023,Functional programming concepts
Compiler theory,Students will learn about the theoretical foundations of compilers and their role in software development.,"6.1100 Computer Language Engineering
",1,Fall 2023,Testing and test-case generation
Software engineering principles,Students will gain knowledge of software engineering principles and practices.,"6.1100 Computer Language Engineering
",1,Fall 2023,Discrete probability
Programming paradigms,Students will acquire knowledge about different programming paradigms and their application in language engineering.,"6.1100 Computer Language Engineering
",1,Fall 2023,Algorithmic techniques for high performance
Tools and technologies,Students will learn about various tools and technologies used in language engineering and compiler design.,"6.1100 Computer Language Engineering
",1,Fall 2023,Vectorization
Design and implementation of programming languages,Students will acquire knowledge about the principles and techniques involved in designing and implementing programming languages.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023,Discrete probability
Just-in-time machine code generation,"Students will learn about the process of generating machine code at runtime, optimizing program execution.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023,Compilation
Optimization,Students will gain knowledge about techniques for improving the performance and efficiency of programs.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023,Logical reasoning
Fundamental approaches for parsing,Students will learn various methods and algorithms for parsing programming language syntax.,"6.1120 Dynamic Computer Language Engineering
",1,Fall 2023,Graph theory
Memory management,"Students will acquire knowledge about memory management techniques, including garbage collection, in programming languages.","6.1120 Dynamic Computer Language Engineering
",1,Fall 2023,Garbage collection
Formal semantics,"Students will acquire knowledge of formal semantics, which is the study of the meaning of programming languages.","6.5110 Foundations of Program Analysis
",1,Fall 2023,Discrete probability
Type systems,"Students will learn about type systems, which are used to classify and ensure the correctness of program behavior.","6.5110 Foundations of Program Analysis
",1,Fall 2023,Discrete probability
Operational semantics,Students will learn about operational semantics and its application in formal reasoning about programs.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023,Discrete probability
Type systems,Students will gain knowledge of type systems and their role in ensuring program correctness.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023,Discrete probability
Program logics,Students will learn about program logics and their use in reasoning about program correctness.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023,Logical reasoning
Functional programming,Students will gain knowledge of functional programming paradigms and their application in formal reasoning about programs.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023,Functional programming concepts
Concurrency,Students will learn about concurrency and its impact on program correctness.,"6.5120 Formal Reasoning About Programs
",1,Fall 2023,Cache Design
Database design,Students will learn the principles and techniques of designing databases for large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023,Motion planning
Programming languages,Students will acquire knowledge of various programming languages and their features.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023,Texture mapping
Symbolic systems,Students will gain knowledge about the concepts and theories behind large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023,Data structures
Software development methodologies,Students will learn about different methodologies and approaches used in the development of large software systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023,Discrete probability
Artificial intelligence,Students will acquire knowledge of artificial intelligence concepts and their applications in symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1,Fall 2023,Algorithmic techniques for high performance
