Skill,Explanation,Related Course,Credits,Semester
Computation,"Students will learn about the fundamental concepts and principles of computation, including the notion of computation itself.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Python language,"Students will acquire knowledge of the syntax, features, and capabilities of the Python programming language.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Algorithms,"Students will learn about different algorithms and their characteristics, such as efficiency and complexity.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Software testing,Students will gain knowledge of testing methodologies and techniques to ensure the quality and reliability of their programs.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Debugging techniques,Students will learn various strategies and techniques for identifying and fixing errors in their code.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Probability and statistics,Students will acquire knowledge of basic probability and statistical concepts and their applications in data science.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Monte Carlo simulations,Students will learn about Monte Carlo simulation methods and their use in modeling and analyzing complex systems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Data modeling,Students will gain knowledge of different data modeling techniques and their applications in representing and organizing data.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Clustering,Students will learn about clustering algorithms and techniques used for grouping similar data points together.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Computational thinking,Students will develop an understanding of computational thinking principles and how they can be applied to solve problems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Notion of computation,Students will acquire knowledge about the fundamental concepts and principles of computation.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Python programming language,"Students will learn about the syntax, features, and functionalities of the Python programming language.","6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Simple algorithms,Students will gain knowledge of basic algorithms and their applications in solving simple problems.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Algorithmic complexity,Students will understand the concept of algorithmic complexity and its impact on program efficiency.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Testing and debugging techniques,Students will learn about different techniques and strategies for testing and debugging programs.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Programming basics,Students will acquire knowledge of the basic principles and concepts of programming.,"6.1010 Fundamentals of Programming
",1,Fall 2023
Computational concepts,"Students will learn about fundamental computational concepts such as loops, conditionals, and variables.","6.1010 Fundamentals of Programming
",1,Fall 2023
Software design,Students will gain knowledge of software design principles and practices.,"6.1010 Fundamentals of Programming
",1,Fall 2023
Data structures,Students will learn about different data structures used in programming and their applications.,"6.1010 Fundamentals of Programming
",1,Fall 2023
