Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill,Title,Professor,Professor Google Scholar Citations,Description
Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,Python programming,"6.100A Introduction to Computer Science Programming in Python
", ,0,"(, ); first half of term
Prereq: None
Units: 3-0-3
Credit cannot also be received for 6.100L
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (ENDS OCT 27) (26-100) Lab: TBA Recitation: F10 (ENDS OCT 27) (37-212) or F11 (ENDS OCT 27) (37-212) or F1 (ENDS OCT 27) (6-120) or F2 (ENDS OCT 27) (6-120) or F10 (ENDS OCT 27) (2-190) or F11 (ENDS OCT 27) (2-190) or F1 (ENDS OCT 27) (34-101)

Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20 counts as REST subject. Final given in the seventh week of the term.
A. BellTextbooks (Fall 2023)"
Algorithmic problem-solving,"Students will develop skills in solving problems using computational techniques, including the design and implementation of algorithms.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,,"6.100A Introduction to Computer Science Programming in Python
", ,0,"(, ); first half of term
Prereq: None
Units: 3-0-3
Credit cannot also be received for 6.100L
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (ENDS OCT 27) (26-100) Lab: TBA Recitation: F10 (ENDS OCT 27) (37-212) or F11 (ENDS OCT 27) (37-212) or F1 (ENDS OCT 27) (6-120) or F2 (ENDS OCT 27) (6-120) or F10 (ENDS OCT 27) (2-190) or F11 (ENDS OCT 27) (2-190) or F1 (ENDS OCT 27) (34-101)

Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20 counts as REST subject. Final given in the seventh week of the term.
A. BellTextbooks (Fall 2023)"
Testing and debugging,Students will learn how to test and debug their programs to ensure their correctness and identify and fix any errors or issues.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,,"6.100A Introduction to Computer Science Programming in Python
", ,0,"(, ); first half of term
Prereq: None
Units: 3-0-3
Credit cannot also be received for 6.100L
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (ENDS OCT 27) (26-100) Lab: TBA Recitation: F10 (ENDS OCT 27) (37-212) or F11 (ENDS OCT 27) (37-212) or F1 (ENDS OCT 27) (6-120) or F2 (ENDS OCT 27) (6-120) or F10 (ENDS OCT 27) (2-190) or F11 (ENDS OCT 27) (2-190) or F1 (ENDS OCT 27) (34-101)

Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20 counts as REST subject. Final given in the seventh week of the term.
A. BellTextbooks (Fall 2023)"
Data structures,"Students will learn about basic data structures such as lists, arrays, and dictionaries, and how to use them effectively in their programs.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,,"6.100A Introduction to Computer Science Programming in Python
", ,0,"(, ); first half of term
Prereq: None
Units: 3-0-3
Credit cannot also be received for 6.100L
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (ENDS OCT 27) (26-100) Lab: TBA Recitation: F10 (ENDS OCT 27) (37-212) or F11 (ENDS OCT 27) (37-212) or F1 (ENDS OCT 27) (6-120) or F2 (ENDS OCT 27) (6-120) or F10 (ENDS OCT 27) (2-190) or F11 (ENDS OCT 27) (2-190) or F1 (ENDS OCT 27) (34-101)

Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20 counts as REST subject. Final given in the seventh week of the term.
A. BellTextbooks (Fall 2023)"
Computational thinking,"Students will develop the ability to think algorithmically and break down complex problems into smaller, manageable steps.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023,,"6.100A Introduction to Computer Science Programming in Python
", ,0,"(, ); first half of term
Prereq: None
Units: 3-0-3
Credit cannot also be received for 6.100L
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (ENDS OCT 27) (26-100) Lab: TBA Recitation: F10 (ENDS OCT 27) (37-212) or F11 (ENDS OCT 27) (37-212) or F1 (ENDS OCT 27) (6-120) or F2 (ENDS OCT 27) (6-120) or F10 (ENDS OCT 27) (2-190) or F11 (ENDS OCT 27) (2-190) or F1 (ENDS OCT 27) (34-101)

Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20 counts as REST subject. Final given in the seventh week of the term.
A. BellTextbooks (Fall 2023)"
Programming,Students will develop proficiency in programming languages and gain the ability to write code to solve computational problems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,,"6.100B Introduction to Computational Thinking and Data Science
", ,0,"(, ); second half of term
Prereq: 6.100A or permission of instructor
Units: 3-0-3
Credit cannot also be received for 9.C20, 16.C20, 18.C20, CSE.C20
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (BEGINS OCT 30) (26-100) Lab: TBA Recitation: F10 (BEGINS OCT 30) (37-212) or F11 (BEGINS OCT 30) (37-212) or F1 (BEGINS OCT 30) (6-120) or F2 (BEGINS OCT 30) (6-120) or F10 (BEGINS OCT 30) (2-190) or F11 (BEGINS OCT 30) (2-190) or F1 (BEGINS OCT 30) (34-101)

Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.
A. BellTextbooks (Fall 2023)"
Data analysis,Students will learn how to analyze and interpret data using computational tools and techniques.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,,"6.100B Introduction to Computational Thinking and Data Science
", ,0,"(, ); second half of term
Prereq: 6.100A or permission of instructor
Units: 3-0-3
Credit cannot also be received for 9.C20, 16.C20, 18.C20, CSE.C20
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (BEGINS OCT 30) (26-100) Lab: TBA Recitation: F10 (BEGINS OCT 30) (37-212) or F11 (BEGINS OCT 30) (37-212) or F1 (BEGINS OCT 30) (6-120) or F2 (BEGINS OCT 30) (6-120) or F10 (BEGINS OCT 30) (2-190) or F11 (BEGINS OCT 30) (2-190) or F1 (BEGINS OCT 30) (34-101)

Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.
A. BellTextbooks (Fall 2023)"
Problem-solving,Students will develop problem-solving skills as they apply computational thinking to real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,Problem-solving,"6.100B Introduction to Computational Thinking and Data Science
", ,0,"(, ); second half of term
Prereq: 6.100A or permission of instructor
Units: 3-0-3
Credit cannot also be received for 9.C20, 16.C20, 18.C20, CSE.C20
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (BEGINS OCT 30) (26-100) Lab: TBA Recitation: F10 (BEGINS OCT 30) (37-212) or F11 (BEGINS OCT 30) (37-212) or F1 (BEGINS OCT 30) (6-120) or F2 (BEGINS OCT 30) (6-120) or F10 (BEGINS OCT 30) (2-190) or F11 (BEGINS OCT 30) (2-190) or F1 (BEGINS OCT 30) (34-101)

Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.
A. BellTextbooks (Fall 2023)"
Modeling,Students will learn how to create mathematical and computational models to represent and simulate real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,,"6.100B Introduction to Computational Thinking and Data Science
", ,0,"(, ); second half of term
Prereq: 6.100A or permission of instructor
Units: 3-0-3
Credit cannot also be received for 9.C20, 16.C20, 18.C20, CSE.C20
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (BEGINS OCT 30) (26-100) Lab: TBA Recitation: F10 (BEGINS OCT 30) (37-212) or F11 (BEGINS OCT 30) (37-212) or F1 (BEGINS OCT 30) (6-120) or F2 (BEGINS OCT 30) (6-120) or F10 (BEGINS OCT 30) (2-190) or F11 (BEGINS OCT 30) (2-190) or F1 (BEGINS OCT 30) (34-101)

Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.
A. BellTextbooks (Fall 2023)"
Optimization,Students will gain the ability to formulate and solve optimization problems using computational methods.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023,,"6.100B Introduction to Computational Thinking and Data Science
", ,0,"(, ); second half of term
Prereq: 6.100A or permission of instructor
Units: 3-0-3
Credit cannot also be received for 9.C20, 16.C20, 18.C20, CSE.C20
https://introcomp.mit.edu/fall23
Lecture: MW3-4.30 (BEGINS OCT 30) (26-100) Lab: TBA Recitation: F10 (BEGINS OCT 30) (37-212) or F11 (BEGINS OCT 30) (37-212) or F1 (BEGINS OCT 30) (6-120) or F2 (BEGINS OCT 30) (6-120) or F10 (BEGINS OCT 30) (2-190) or F11 (BEGINS OCT 30) (2-190) or F1 (BEGINS OCT 30) (34-101)

Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.
A. BellTextbooks (Fall 2023)"
