Skill,Explanation,Related Course,Credits,Semester
Python programming,"Students will gain proficiency in programming using the Python language, which is the main focus of the course.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Algorithmic problem-solving,"Students will develop skills in solving problems using computational techniques, including the design and implementation of algorithms.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Testing and debugging,Students will learn how to test and debug their programs to ensure their correctness and identify and fix any errors or issues.,"6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Data structures,"Students will learn about basic data structures such as lists, arrays, and dictionaries, and how to use them effectively in their programs.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Computational thinking,"Students will develop the ability to think algorithmically and break down complex problems into smaller, manageable steps.","6.100A Introduction to Computer Science Programming in Python
",1,Fall 2023
Programming,Students will develop proficiency in programming languages and gain the ability to write code to solve computational problems.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Data analysis,Students will learn how to analyze and interpret data using computational tools and techniques.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Problem-solving,Students will develop problem-solving skills as they apply computational thinking to real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Modeling,Students will learn how to create mathematical and computational models to represent and simulate real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Optimization,Students will gain the ability to formulate and solve optimization problems using computational methods.,"6.100B Introduction to Computational Thinking and Data Science
",1,Fall 2023
Programming,Students will develop programming skills using Python to solve problems and implement algorithms.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Computational techniques,Students will learn and apply computational techniques to analyze and solve problems.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Algorithm design,Students will gain the skill of designing algorithms to solve specific tasks efficiently.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Testing and debugging,Students will learn how to test and debug their programs to ensure their correctness and efficiency.,"6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Data structures,"Students will learn about and manipulate various data structures such as lists, arrays, and dictionaries.","6.100L Introduction to Computer Science and Programming
",1,Fall 2023
Programming,"Students will gain proficiency in programming languages, specifically Python, and learn how to apply programming methods to solve abstract problems.","6.1010 Fundamentals of Programming
",1,Fall 2023
Software engineering,"Students will develop skills in software design, construction, and implementation.","6.1010 Fundamentals of Programming
",1,Fall 2023
Algorithmic techniques,Students will learn various algorithmic techniques used in programming to solve complex problems efficiently.,"6.1010 Fundamentals of Programming
",1,Fall 2023
Data types,Students will learn about different data types and how to manipulate and store data in programming.,"6.1010 Fundamentals of Programming
",1,Fall 2023
Recursion,Students will learn the concept of recursion and how to use it in programming to solve repetitive problems.,"6.1010 Fundamentals of Programming
",1,Fall 2023
Software development,"Students will learn the fundamental principles and techniques of software development, including writing safe and bug-free code.","6.1020 Software Construction
",1,Fall 2023
Testing and test-case generation,Students will gain proficiency in testing software and generating test cases to ensure the quality and reliability of their code.,"6.1020 Software Construction
",1,Fall 2023
Object-oriented programming,"Students will learn design patterns and techniques for object-oriented programming, enabling them to write modular and reusable code.","6.1020 Software Construction
",1,Fall 2023
Concurrent programming,"Students will develop skills in concurrent programming, including message passing and shared memory concurrency, and learn how to defend against races and deadlock.","6.1020 Software Construction
",1,Fall 2023
Functional programming,"Students will learn the concepts of functional programming, including working with immutable data and higher-order functions.","6.1020 Software Construction
",1,Fall 2023
Web application development,"Students will learn how to design and build full-stack web applications, gaining proficiency in developing web-based software.","6.1040 Software Design
",1,Fall 2023
Human-computer interaction (HCI) design,"Students will acquire skills in classic HCI design tactics such as need finding, heuristic evaluation, prototyping, and user testing.","6.1040 Software Design
",1,Fall 2023
Database management,"Students will develop proficiency in working with databases, including topics such as database design and web services.","6.1040 Software Design
",1,Fall 2023
Problem-solving,"Through programming projects, students will enhance their problem-solving abilities, applying their skills to solve complex software development challenges.","6.1040 Software Design
",1,Fall 2023
Communication,"Students will improve their communication skills as they collaborate on individual and team projects, effectively conveying their ideas and collaborating with others.","6.1040 Software Design
",1,Fall 2023
Performance analysis,Students will learn how to analyze the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023
Algorithmic techniques for high performance,Students will learn various algorithms and techniques to optimize the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023
Instruction-level optimizations,Students will gain proficiency in optimizing software at the instruction level.,"6.1060 Software Performance Engineering
",1,Fall 2023
Vectorization,Students will learn how to utilize vectorization to improve the performance of software systems.,"6.1060 Software Performance Engineering
",1,Fall 2023
Parallel programming,Students will develop skills in programming for parallel computing.,"6.1060 Software Performance Engineering
",1,Fall 2023
Algorithm design and analysis,Students will learn how to design and analyze algorithms to solve various computational problems.,"6.5060 Algorithm Engineering
",1,Fall 2023
Performance engineering,Students will gain the ability to optimize and improve the performance of algorithm implementations.,"6.5060 Algorithm Engineering
",1,Fall 2023
Sequential algorithm implementation,Students will develop the skill to implement algorithms that are executed sequentially.,"6.5060 Algorithm Engineering
",1,Fall 2023
Parallel algorithm implementation,Students will learn how to implement algorithms that can be executed in parallel.,"6.5060 Algorithm Engineering
",1,Fall 2023
External-memory algorithm implementation,Students will gain proficiency in implementing algorithms that efficiently use external memory.,"6.5060 Algorithm Engineering
",1,Fall 2023
Multicore programming,"Students will gain proficiency in programming multicore machines, including understanding principles and core techniques such as locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and synchronization techniques.","6.5080 Multicore Programming
",1,Fall 2023
Transactional memory,Students will learn about state-of-the-art synchronization technique called transactional memory and how to apply it in multicore programming.,"6.5080 Multicore Programming
",1,Fall 2023
Multicore programming,"Students will gain proficiency in programming multicore machines, including principles and core techniques such as locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and synchronization techniques.","6.5081 Multicore Programming
",1,Fall 2023
Designing highly concurrent applications,Students will learn how to design a highly concurrent application as part of the programming assignments.,"6.5081 Multicore Programming
",1,Fall 2023
Programming assignments,Students will develop their programming skills through a sequence of programming assignments on a large multicore machine.,"6.5081 Multicore Programming
",1,Fall 2023
Transactional memory,"Students will learn about state-of-the-art synchronization techniques, such as transactional memory, used in multicore programming.","6.5081 Multicore Programming
",1,Fall 2023
Compiler design,Students will learn how to design and implement compilers for higher-level programming languages.,"6.1100 Computer Language Engineering
",1,Fall 2023
Software development,Students will gain proficiency in using tools and techniques for building software.,"6.1100 Computer Language Engineering
",1,Fall 2023
Programming languages,Students will develop proficiency in understanding and working with different programming languages.,"6.1100 Computer Language Engineering
",1,Fall 2023
